Dataset,IndependentUnitN,TechnicalRepeatN,FullRelativeMAE,AutoRelativeMAE,MeanPairedDifference,RelativeImprovementPercent,UnitsImproved,UnitsWorsened,RawP,SignedRankStatistic,BootstrapCILower,BootstrapCIUpper,HolmAdjustedP,SignificantAfterHolm
NUAA,9,30,1.45936828403186,1.09109762873033,-0.368270655301525,25.2349361933567,8,1,0.01171875,2,-0.643885864860744,-0.131139813837626,0.0234375,1
PHM2010,3,30,1.1909630842684,1.05782423477504,-0.133138849493362,11.1790912121468,2,1,0.5,1,-0.348356773308391,0.013034946133152,0.5,0
Combined,12,30,1.39226698409099,1.08277928024151,-0.309487703849484,22.229048550738,10,2,0.0048828125,5,-0.531828215150849,-0.118826532477587,0.0146484375,1
