InjectedRatio,Repeat,Model,ActualMeanSaturationRatio,MAE,RMSE,R2
0,1,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,1,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,1,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,2,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,2,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,2,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,3,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,3,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,3,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,4,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,4,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,4,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,5,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,5,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,5,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,6,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,6,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,6,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,7,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,7,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,7,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,8,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,8,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,8,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,9,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,9,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,9,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,10,AllSensorsTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0,10,QualityAwareTime,0,0.109701280949671,0.15201262207762,0.464758494576699
0,10,QualityGatedTime,0,0.0951403377520283,0.141042935191912,0.539220490967857
0.1,1,AllSensorsTime,0.1,0.0956066756680187,0.142433935257928,0.530087032396672
