Model,MAE,RMSE,R2,P95AbsoluteError,MaximumAbsoluteError
RidgeGated,0.115342389029865,0.182016924205799,0.508527555712373,0.351152415134039,1.04919308801844
TimeOnly,0.132047706990989,0.198460448858336,0.415716571375548,0.415488574624814,1.02926175360323
AllSensorsTime,0.116209976802627,0.204076379023021,0.382181213211466,0.484787160103622,1.21809162447455
QualityAwareTime,0.119028237767688,0.182253416187289,0.507249599827428,0.356059321431491,1.04163260812232
TimeGated,0.108772765115727,0.175923171578738,0.540884745839963,0.349257394147829,1.04163260812232
