Strategy,WearGroup,SampleCount,GroupMAE,GroupRMSE,MeanResidual
AllSensors,VB < 0.2,50,0.0884080669587573,0.121271762588708,0.081690907652857
AllSensors,0.2 <= VB < 0.4,44,0.083269559186768,0.110530725859132,0.0525533630214335
AllSensors,VB >= 0.4,52,0.190564148007371,0.311773112263906,-0.0982392517177496
NoSmcDC,VB < 0.2,50,0.115897789321106,0.150412221499014,0.044003524392062
NoSmcDC,0.2 <= VB < 0.4,44,0.0925064627517773,0.120818818286446,0.0404527991807474
NoSmcDC,VB >= 0.4,52,0.172587938556205,0.259692288442579,-0.108963591069354
QualityAware,VB < 0.2,50,0.113436471350136,0.147765519836082,0.0476714869823933
QualityAware,0.2 <= VB < 0.4,44,0.0890806739594288,0.115886261062647,0.0443613227249478
QualityAware,VB >= 0.4,52,0.172513811442621,0.259267063304831,-0.107459637919075
