CaseID,SampleCount,RidgeTimeGated,BaggedAllSensors,BaggedQualityAware,BaggedTimeGated,BoostAllSensors,BoostQualityAware,BoostTimeGated
1,13,0.0344647875260153,0.108472898221225,0.121319436546657,0.120339469301438,0.0791465320636691,0.0711275627457627,0.0761728757889072
2,13,0.0564359419412118,0.0491625763125764,0.0572041056166057,0.0475337454212455,0.0519648212149945,0.0348683502913893,0.0522550337645314
3,14,0.0575266978515599,0.0808209608843538,0.0826760402494331,0.0808209608843538,0.110657484541386,0.121032079369972,0.110657484541386
4,7,0.0652286560297278,0.0455504366226309,0.0324919557823129,0.0455504366226309,0.068007436434273,0.0899875520566036,0.068007436434273
5,6,0.235995449905217,0.200266686507937,0.19624746031746,0.190503571428571,0.175815268171562,0.154362153635679,0.160938487240131
6,1,0.124119761958048,0.214164563492063,0.203464166666667,0.214164563492063,0.102400454460644,0.108017193392956,0.102400454460644
7,7,0.11330327288481,0.0650332369614513,0.0700798211708926,0.0650332369614513,0.0505885372603727,0.0576297124564254,0.0505885372603727
8,5,0.117950424326772,0.11951673015873,0.0868546825396825,0.11951673015873,0.0916662337041813,0.0815320651104429,0.0916662337041813
9,9,0.122229592969719,0.152051312231227,0.139767389770723,0.14904053131929,0.118679978793421,0.117382550430388,0.108918539463575
10,10,0.0881261777837515,0.0930121626984127,0.0796084206349206,0.0799476706349206,0.0549966501152604,0.0489487672688141,0.0477271899041847
11,20,0.0633645228231384,0.106063083333333,0.0941142400793651,0.106063083333333,0.10447523958337,0.0971671654761651,0.10447523958337
12,12,0.0409290198701553,0.0621505357142856,0.071569580026455,0.0621570205026455,0.0849590245168288,0.0747909705981079,0.0788881002594251
13,13,0.333070874900593,0.355340518925519,0.35607993978244,0.355735586913087,0.336707141369302,0.339959941162605,0.345868296774729
14,7,0.163472926593949,0.189179280045351,0.198555148870369,0.193163967795682,0.165120532263166,0.188395433260425,0.191094667439477
15,6,0.140717334962439,0.20109164021164,0.159830704665705,0.186653075396825,0.356292824795776,0.375504320653954,0.37549211235506
16,3,0.151956563121942,0.135544603174603,0.117113822751323,0.117113822751323,0.130011254449516,0.101482159333186,0.101482159333186
