ValidationScheme,MAEMean,MAEStandardDeviation,RMSEMean,RMSEStandardDeviation,R2Mean,R2StandardDeviation,MeanCaseOverlapRate
Leave-One-Case-Out,0.108772765115727,0,0.175923171578738,0,0.540884745839963,0,0
Repeated Random 5-Fold,0.0953662708181688,0.00381445501332198,0.143247284322192,0.00798831184052785,0.694698042868,0.0342927271663365,0.991095890410959
