Strategy,MAE,RMSE,R2
AllSensors,0.123243833209171,0.208179000682266,0.35709105321842
NoSmcDC,0.129039360493535,0.190175701807917,0.463480284314491
QualityAware,0.127137612443411,0.188324357519364,0.47387538674409
