Strategy,MAE,RMSE,R2,P95AbsoluteError,MaximumAbsoluteError
AllSensors,0.123243833209171,0.208179000682266,0.35709105321842,0.474288286381731,1.19363465903977
QualityAware,0.127137612443411,0.188324357519364,0.47387538674409,0.35164090546649,1.04676323711833
Gated1Percent,0.115369276969773,0.18182108718632,0.509584564239028,0.35687457524554,1.04676323711833
Gated10Percent,0.115533931007442,0.182051977455268,0.508338239634783,0.35687457524554,1.04676323711833
Gated50Percent,0.11658713601125,0.182735185890524,0.504641078341376,0.35687457524554,1.04676323711833
