Model,MAE,RMSE,R2
Training mean,0.19998292320802,0.264363210958121,-0.0367586485510616
Process only,0.201609486164252,0.267085588269698,-0.058221399067578
Sensor ridge,0.128945951798873,0.219665483912075,0.28418750747683
Process + sensor ridge,0.123243833209171,0.208179000682266,0.35709105321842
