Model,MAE,RMSE,R2,P95AbsoluteError,MaximumAbsoluteError,MAEChangeFromRidge,MAEChangePercentFromRidge
RidgeTimeGated,0.108772765115727,0.175923171578738,0.540884745839963,0.349257394147829,1.04163260812232,0,0
BaggedQualityAware,0.124218197419587,0.195358080957864,0.433841031344015,0.40463726984127,1.03701512987013,0.0154454323038598,14.1997238807222
BoostQualityAware,0.124863373466681,0.204289085343392,0.380892652065809,0.493232462219206,0.926150628228757,0.0160906083509533,14.7928650465343
BoostTimeGated,0.126440769872132,0.203217511723262,0.38737052295885,0.503675176296981,0.926150628228757,0.0176680047564042,16.243040928128
BoostAllSensors,0.126625849972634,0.198931533294618,0.412939458786082,0.503675176296981,0.873486507669613,0.0178530848569061,16.4131939074193
BaggedTimeGated,0.126703139230942,0.197781829351685,0.419705559851356,0.403627380952381,1.03701512987013,0.0179303741152151,16.4842496153686
BaggedAllSensors,0.128018531227318,0.198291896264903,0.416708614547269,0.403627380952381,1.04337869047619,0.0192457661115904,17.6935523254503
