Model,MAE,RMSE,R2,P95AbsoluteError,MaximumAbsoluteError
RidgeGated,0.115369276969773,0.18182108718632,0.509584564239028,0.35687457524554,1.04676323711833
SVRAllSensors,0.134073819973742,0.19735662335801,0.422197997502354,0.469631571080152,1.01824039876771
SVRQualityAware,0.132442109313463,0.197286398903029,0.422609117342881,0.458299763751411,1.0473784918174
SVRGated,0.127818705686283,0.194025467389323,0.441538668925048,0.461141379327154,1.0473784918174
