RemovedSensor,RemovedModelMAE,MAEChange,MAEChangePercent,CasesImprovedAfterRemoval,CasesWorsenedAfterRemoval,RawPValue,HolmAdjustedP,SignificantAfterHolm,SignedRankStatistic,BootstrapCILower,BootstrapCIUpper,ProbabilityRemovalWorsens
smcAC,0.122894316020977,0.0141215509052499,12.982616457553,7,9,0.433197021484375,1,0,84,-0.00223685455247064,0.0339691055852606,0.948
smcDC,0.119028237767688,0.0102554726519606,9.42834600283394,7,8,0.45428466796875,1,0,74,-0.000830096911587692,0.0264144545089649,0.95407
vib_table,0.104759582579664,-0.00401318253606354,-3.6895104503354,10,6,0.5618896484375,1,0,56,-0.0107943257737616,0.00131158919631205,0.07624
vib_spindle,0.11486698223957,0.00609421712384305,5.60270497615757,7,9,0.820892333984375,1,0,73,-0.00475368871895275,0.0197713892399277,0.82984
AE_table,0.104625845022633,-0.00414692009309463,-3.81246177633028,10,6,0.231201171875,1,0,44,-0.00996138866104441,0.000538498197928378,0.04312
AE_spindle,0.117479439657021,0.00870667454129365,8.00446190002644,6,10,0.083251953125,0.49951171875,0,102,4.33064018524541e-05,0.0174331364638792,0.97564
