CaseID,SampleCount,RidgeGatedMAE,TimeGatedMAE,TimeMinusRidge
1,13,0.0461558402427001,0.0344647875260154,-0.0116910527166847
2,13,0.0525025335905728,0.0564359419412119,0.00393340835063909
3,14,0.0519143232890667,0.0575266978515599,0.00561237456249321
4,7,0.055466690286611,0.0652286560297279,0.00976196574311694
5,6,0.242398702503134,0.235995449905217,-0.00640325259791713
6,1,0.12726503831449,0.124119761958048,-0.00314527635644199
7,7,0.122398238649496,0.11330327288481,-0.00909496576468609
8,5,0.117065054384692,0.117950424326772,0.000885369942079786
9,9,0.131096922756473,0.122229592969719,-0.00886732978675435
10,10,0.0954117165915458,0.0881261777837516,-0.00728553880779421
11,20,0.0856807864725141,0.0633645228231384,-0.0223162636493757
12,12,0.0501870353083161,0.0409290198701552,-0.00925801543816088
13,13,0.339756900892135,0.333070874900593,-0.00668602599154167
14,7,0.16263233619505,0.16347292659395,0.000840590398899416
15,6,0.158957000144174,0.140717334962439,-0.0182396651817352
16,3,0.153244898323131,0.151956563121942,-0.00128833520118837
