CaseID,SampleCount,AllSensorsMAE,QualityAwareMAE,Gated1MAE,Gated10MAE,Gated50MAE
1,13,0.0505342663718979,0.0389660513525993,0.0495370578963579,0.0495370578963579,0.0526560798097349
2,13,0.0494722991655661,0.128034555718701,0.0522134995109818,0.0522134995109818,0.0494722991655661
3,14,0.0519143232890665,0.081702276589183,0.0519143232890665,0.0519143232890665,0.0519143232890665
4,7,0.055466690286611,0.115064859139747,0.055466690286611,0.055466690286611,0.055466690286611
5,6,0.216533952253553,0.241428616516561,0.242353634653271,0.242353634653271,0.26901231282071
6,1,0.12726503831449,0.128820282834389,0.12726503831449,0.12726503831449,0.12726503831449
7,7,0.122398238649496,0.137373691719101,0.122398238649496,0.122398238649496,0.122398238649496
8,5,0.117065054384692,0.119422914158428,0.117065054384692,0.117065054384692,0.117065054384692
9,9,0.132726036037334,0.12561307582284,0.129004756803747,0.133043633492907,0.133043633492907
10,10,0.100269870097773,0.0883956288587201,0.0956727533018609,0.0987962166851684,0.0987962166851684
11,20,0.085680786472514,0.0940474196415501,0.085680786472514,0.085680786472514,0.085680786472514
12,12,0.138430303578853,0.0622215447113604,0.049446285823181,0.049446285823181,0.0465060715492277
13,13,0.344269580573146,0.322025508329176,0.339389583137401,0.339389583137401,0.339389583137401
14,7,0.174423931406338,0.157037094602361,0.160172371140668,0.160172371140668,0.160172371140668
15,6,0.164494837301499,0.151889162110433,0.159651543646056,0.152394037890086,0.156425163299294
16,3,0.151470585126148,0.155556033435387,0.155556033435387,0.155556033435387,0.155556033435387
