Dataset,IndependentUnitN,TechnicalRepeatN,FullRelativeMAE,AutoRelativeMAE,MeanPairedDifference,RelativeImprovementPercent,UnitsImproved,UnitsWorsened,RawP,SignedRankStatistic,BootstrapCILower,BootstrapCIUpper,HolmAdjustedP,SignificantAfterHolm
NUAA,9,30,1.45936828403186,1.09173559189484,-0.367632692137021,25.1912211714884,8,1,0.01171875,2,-0.644993104580318,-0.130311572948125,0.0234375,1
PHM2010,3,30,1.1909630842684,1.055496086363,-0.135466997905396,11.3745757273923,2,1,0.5,1,-0.359594231939111,0.00830646593412432,0.5,0
Combined,12,30,1.39226698409099,1.08267571551188,-0.309591268579115,22.2364871189735,10,2,0.0048828125,5,-0.531413646817979,-0.118659274763593,0.0146484375,1
