Repeat,Seed,Dataset,TargetPair,FaultType,RunLevelN,FullMAE,MedianReplacementMAE,SingleMaskTrainMAE,MultiMaskTrainMAE,SingleSQTR_MAE,SubsetRoutingMAE,OraclePairExclusionMAE,ExactSetDetectionRate,BothTargetDetectedRate,ExtraChannelTriggerRate,MeanDurationFraction,MeanSeverity
1,2026081501,NUAA,force_z+vibration_x,SoftClipping,152,0.0485817738952978,0.0414332781267629,0.0400276395635452,0.0428732456930071,0.0425464358074011,0.0424630161371114,0.0586484258120297,0.0131578947368421,0.0131578947368421,0.0197368421052632,0.494848980282816,1.78975733042433
1,2026081501,NUAA,force_z+vibration_x,IntermittentDropout,152,0.0457967768888635,0.0419689655668126,0.0403830969940077,0.0428767067810953,0.0459457492015178,0.0560622976278891,0.0586484258120297,0.828947368421053,0.848684210526316,0.0197368421052632,0.264440622468217,0.264440622468217
1,2026081501,NUAA,force_z+vibration_x,GradualDrift,152,0.0503069126831843,0.0424575721934054,0.0423824883549296,0.0428567151113886,0.0432619910110389,0.0428553361922822,0.0586484258120297,0.00657894736842105,0.00657894736842105,0.0197368421052632,0.6901696686391,1.74792833302218
1,2026081501,NUAA,force_z+vibration_x,HeteroscedasticNoise,152,0.0621241732174138,0.0490202376345401,0.0488622610636509,0.0473150309462799,0.0509878748186563,0.049411625624576,0.0586484258120297,0.00657894736842105,0.00657894736842105,0.0197368421052632,0.696618915420665,1.25691615628585
1,2026081501,NUAA,force_z+vibration_y,SoftClipping,152,0.0476716650578634,0.0415874862221682,0.0418002339815762,0.0428305688187808,0.0435787462577541,0.0434020280139131,0.040833826260722,0.0197368421052632,0.0197368421052632,0.00657894736842105,0.489372736250076,1.77789758583889
1,2026081501,NUAA,force_z+vibration_y,IntermittentDropout,152,0.0486605083914759,0.0410881978527728,0.0395870270380589,0.0414966686738906,0.0452201897741263,0.0411902801702142,0.040833826260722,0.835526315789474,0.835526315789474,0.00657894736842105,0.262804798746112,0.262804798746112
1,2026081501,NUAA,force_z+vibration_y,GradualDrift,152,0.053197637524957,0.0441590059537862,0.0419283877533098,0.0430272398042379,0.0451863631464664,0.0441873734950381,0.040833826260722,0.138157894736842,0.144736842105263,0.00657894736842105,0.694685114535103,1.79778153389693
1,2026081501,NUAA,force_z+vibration_y,HeteroscedasticNoise,152,0.0561143661852183,0.0448745224465335,0.0443907616379522,0.044972390899141,0.0445607333847528,0.0445607333847528,0.040833826260722,0,0,0.00657894736842105,0.693718177678851,1.23860853285598
1,2026081501,NUAA,vibration_x+vibration_y,SoftClipping,152,0.0392480136217412,0.0393432671598104,0.0403879344875814,0.0400618113445403,0.0392880633050331,0.0392880633050331,0.0379406954754658,0,0,0.0131578947368421,0.502204061037795,1.71158266926413
1,2026081501,NUAA,vibration_x+vibration_y,IntermittentDropout,152,0.0421125993842871,0.0381550550447359,0.0374069017775911,0.0377409178067707,0.0393611869173788,0.0378296641271633,0.0379406954754658,0.986842105263158,1,0.0131578947368421,0.253668197714753,0.253668197714753
1,2026081501,NUAA,vibration_x+vibration_y,GradualDrift,152,0.0414312026499086,0.0408926171160009,0.0401994331172716,0.0400176521357964,0.0410524585588355,0.0409440731589728,0.0379406954754658,0.00657894736842105,0.00657894736842105,0.0131578947368421,0.695567192758568,1.76775764032137
1,2026081501,NUAA,vibration_x+vibration_y,HeteroscedasticNoise,152,0.040604963456688,0.0407687061034244,0.0409532470085842,0.0412140828342093,0.040769936503641,0.040769936503641,0.0379406954754658,0,0,0.0131578947368421,0.694129630162707,1.23986974256198
1,2026081501,PHM2010,force_z+vibration_x,SoftClipping,945,0.0163422531567825,0.0164042360042204,0.0136540458494812,0.013791670581399,0.0161599115664906,0.0161602085072053,0.0114861988707107,0.00423280423280423,0.00423280423280423,0.00846560846560847,0.496804316276516,1.7626742472546
1,2026081501,PHM2010,force_z+vibration_x,IntermittentDropout,945,0.0157071836939639,0.0147868100259969,0.012260590404273,0.0130813980137211,0.0110046912901834,0.0121462227263286,0.0114861988707107,0.685714285714286,0.694179894179894,0.00846560846560847,0.264953003175664,0.264953003175664
1,2026081501,PHM2010,force_z+vibration_x,GradualDrift,945,0.0141024684895853,0.0137663394977491,0.012885607512298,0.0140333483929837,0.0136359648508115,0.0136298862800807,0.0114861988707107,0.0148148148148148,0.0158730158730159,0.00846560846560847,0.695007319206464,1.76061527728213
1,2026081501,PHM2010,force_z+vibration_x,HeteroscedasticNoise,945,0.0140110388388549,0.0139386066320051,0.0137601458918277,0.0140279215742464,0.0137651389980166,0.0137592104409702,0.0114861988707107,0.00211640211640212,0.00211640211640212,0.00846560846560847,0.697648467709244,1.24539083298311
1,2026081501,PHM2010,force_z+vibration_y,SoftClipping,945,0.0160292582045395,0.0159603906281491,0.0136511804732876,0.0141389374334861,0.0157174220804943,0.015691640928054,0.0120501203448286,0.00211640211640212,0.00211640211640212,0.0137566137566138,0.504528482496125,1.72772979421508
1,2026081501,PHM2010,force_z+vibration_y,IntermittentDropout,945,0.0144747544663002,0.0138875042599555,0.0123079463280331,0.013083475409225,0.0107397885455612,0.0114170639668652,0.0120501203448286,0.385185185185185,0.391534391534392,0.0137566137566138,0.261278729548337,0.261278729548337
1,2026081501,PHM2010,force_z+vibration_y,GradualDrift,945,0.0130421986460103,0.0127737515474892,0.0126190927342911,0.014295917609478,0.0125753729166204,0.0125715763774056,0.0120501203448286,0.00105820105820106,0.00105820105820106,0.0137566137566138,0.696802458809877,1.74507230594123
1,2026081501,PHM2010,force_z+vibration_y,HeteroscedasticNoise,945,0.0144122826908365,0.0144943985510583,0.013996762623312,0.0139579962594157,0.0143917653139275,0.0143944448609942,0.0120501203448286,0,0,0.0137566137566138,0.699560993750682,1.24603463391957
1,2026081501,PHM2010,vibration_x+vibration_y,SoftClipping,945,0.0121890239981969,0.0122163902398549,0.0124054242970731,0.0129299064016887,0.0122781984598517,0.0122685181204545,0.013837131998922,0,0,0.00952380952380952,0.4994905997634,1.73115800119417
1,2026081501,PHM2010,vibration_x+vibration_y,IntermittentDropout,945,0.0119161412977623,0.0137884374822903,0.013788983927427,0.0142799749890949,0.013143478980615,0.0142652079386878,0.013837131998922,0.376719576719577,0.380952380952381,0.00952380952380952,0.259502835447487,0.259502835447487
1,2026081501,PHM2010,vibration_x+vibration_y,GradualDrift,945,0.0141584158760878,0.014160037636828,0.0140668850630904,0.0158152740753484,0.0142137681610027,0.0142040202556366,0.013837131998922,0,0,0.00952380952380952,0.702822458670334,1.7620850161606
1,2026081501,PHM2010,vibration_x+vibration_y,HeteroscedasticNoise,945,0.0142256692079994,0.0142599955970937,0.013253618296329,0.0137993122304561,0.0142753503290274,0.0142656639126721,0.013837131998922,0,0,0.00952380952380952,0.697320252744796,1.25671060985611
2,2026081502,NUAA,force_z+vibration_x,SoftClipping,152,0.0503627407604112,0.0422239562298642,0.040908590703386,0.0434845789008317,0.0439854420779763,0.0438640121070002,0.0586484258120297,0.0131578947368421,0.0131578947368421,0.0197368421052632,0.496325390821894,1.73230058097859
2,2026081502,NUAA,force_z+vibration_x,IntermittentDropout,152,0.0458884173963875,0.0418036994468276,0.0400760705672053,0.0427144265767174,0.0461696730697035,0.0570073624025077,0.0586484258120297,0.835526315789474,0.855263157894737,0.0197368421052632,0.255568584111916,0.255568584111916
2,2026081502,NUAA,force_z+vibration_x,GradualDrift,152,0.0507993324010867,0.0426974972009202,0.0424426557611563,0.0426065929871607,0.0438219647236936,0.0434684118445944,0.0586484258120297,0.0131578947368421,0.0131578947368421,0.0197368421052632,0.708588904093154,1.75030577942857
2,2026081502,NUAA,force_z+vibration_x,HeteroscedasticNoise,152,0.0636470901930012,0.0458098412278688,0.0461645208550275,0.0450146765723594,0.0467355844648345,0.0467307613330271,0.0586484258120297,0,0,0.0197368421052632,0.695588088739794,1.27597088215769
2,2026081502,NUAA,force_z+vibration_y,SoftClipping,152,0.0460409454833274,0.0422947702732833,0.0419018901116437,0.0425782490109134,0.0444029528130335,0.0445042004271124,0.040833826260722,0.0197368421052632,0.0197368421052632,0.00657894736842105,0.504353260954652,1.7749441991572
2,2026081502,NUAA,force_z+vibration_y,IntermittentDropout,152,0.0487623457104641,0.0405513640536034,0.0389083574590673,0.0408722397176741,0.0454754904712641,0.0406722462933596,0.040833826260722,0.881578947368421,0.881578947368421,0.00657894736842105,0.25912043937432,0.25912043937432
2,2026081502,NUAA,force_z+vibration_y,GradualDrift,152,0.0516213885935367,0.044468173425986,0.0429915098356211,0.0441842358969276,0.0450046134027398,0.0445946063008065,0.040833826260722,0.0855263157894737,0.0855263157894737,0.00657894736842105,0.686976375973769,1.80260147313178
2,2026081502,NUAA,force_z+vibration_y,HeteroscedasticNoise,152,0.0625851880753442,0.0498956036081899,0.0490091700191437,0.0490795482437343,0.0508339953867932,0.0502129609888998,0.040833826260722,0.00657894736842105,0.00657894736842105,0.00657894736842105,0.689553790270387,1.28148235220748
2,2026081502,NUAA,vibration_x+vibration_y,SoftClipping,152,0.0391361401157216,0.0392185765147954,0.0402645348696521,0.0403390694715028,0.0392006779804625,0.0392006779804625,0.0379406954754658,0,0,0.0131578947368421,0.49798104723436,1.77227491336562
2,2026081502,NUAA,vibration_x+vibration_y,IntermittentDropout,152,0.0421389465337356,0.0381550550447359,0.0374069017775911,0.0377409178067707,0.0393517208622599,0.0378296641271633,0.0379406954754658,0.986842105263158,1,0.0131578947368421,0.265453225040778,0.265453225040778
