Dataset,FaultSensor,FaultType,SeverityLevel,SeverityValue,SeverityUnit,AnyAlarmRate,CorrectSensorDetectionRate,WrongSensorAlarmRate,CleanFalseAlarmRate,CorrectDetections,RunLevelN
PHM2010,force_z,Saturation,2,0.3,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Saturation,3,0.5,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Saturation,4,0.7,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Dropout,1,0.1,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Dropout,2,0.3,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Dropout,3,0.5,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Dropout,4,0.7,fraction,1,1,0,0.0296296296296296,945,945
PHM2010,force_z,Bias,1,0.5,signal_sd,0.263492063492063,0.245502645502646,0.017989417989418,0.0296296296296296,232,945
PHM2010,force_z,Bias,2,1,signal_sd,0.520634920634921,0.511111111111111,0.00952380952380952,0.0296296296296296,483,945
PHM2010,force_z,Bias,3,2,signal_sd,0.832804232804233,0.826455026455026,0.00634920634920635,0.0296296296296296,781,945
PHM2010,force_z,Bias,4,3,signal_sd,0.923809523809524,0.917460317460317,0.00634920634920635,0.0296296296296296,867,945
PHM2010,force_z,Noise,1,0.25,signal_sd,0.0232804232804233,0.00211640211640212,0.0211640211640212,0.0296296296296296,2,945
PHM2010,force_z,Noise,2,0.5,signal_sd,0.0328042328042328,0.0116402116402116,0.0211640211640212,0.0296296296296296,11,945
PHM2010,force_z,Noise,3,1,signal_sd,0.17989417989418,0.161904761904762,0.017989417989418,0.0296296296296296,153,945
PHM2010,force_z,Noise,4,2,signal_sd,0.737566137566138,0.724867724867725,0.0126984126984127,0.0296296296296296,685,945
PHM2010,vibration_x,Saturation,1,0.1,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_x,Saturation,2,0.3,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_x,Saturation,3,0.5,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_x,Saturation,4,0.7,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_x,Dropout,1,0.1,fraction,0.671957671957672,0.668783068783069,0.00317460317460317,0.0296296296296296,632,945
PHM2010,vibration_x,Dropout,2,0.3,fraction,0.671957671957672,0.668783068783069,0.00317460317460317,0.0296296296296296,632,945
PHM2010,vibration_x,Dropout,3,0.5,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_x,Dropout,4,0.7,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_x,Bias,1,0.5,signal_sd,0.0296296296296296,0.0137566137566138,0.0158730158730159,0.0296296296296296,13,945
PHM2010,vibration_x,Bias,2,1,signal_sd,0.101587301587302,0.0857142857142857,0.0158730158730159,0.0296296296296296,81,945
PHM2010,vibration_x,Bias,3,2,signal_sd,0.382010582010582,0.368253968253968,0.0137566137566138,0.0296296296296296,348,945
PHM2010,vibration_x,Bias,4,3,signal_sd,0.571428571428571,0.562962962962963,0.00846560846560847,0.0296296296296296,532,945
PHM2010,vibration_x,Noise,1,0.25,signal_sd,0.0211640211640212,0.00423280423280423,0.0169312169312169,0.0296296296296296,4,945
PHM2010,vibration_x,Noise,2,0.5,signal_sd,0.0211640211640212,0.00423280423280423,0.0169312169312169,0.0296296296296296,4,945
PHM2010,vibration_x,Noise,3,1,signal_sd,0.0211640211640212,0.00423280423280423,0.0169312169312169,0.0296296296296296,4,945
PHM2010,vibration_x,Noise,4,2,signal_sd,0.0507936507936508,0.0338624338624339,0.0169312169312169,0.0296296296296296,32,945
PHM2010,vibration_y,Saturation,1,0.1,fraction,1,0.997883597883598,0.00211640211640212,0.0296296296296296,943,945
PHM2010,vibration_y,Saturation,2,0.3,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_y,Saturation,3,0.5,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_y,Saturation,4,0.7,fraction,1,0.998941798941799,0.00105820105820106,0.0296296296296296,944,945
PHM2010,vibration_y,Dropout,1,0.1,fraction,0.353439153439153,0.33968253968254,0.0137566137566138,0.0296296296296296,321,945
PHM2010,vibration_y,Dropout,2,0.3,fraction,0.351322751322751,0.337566137566138,0.0137566137566138,0.0296296296296296,319,945
PHM2010,vibration_y,Dropout,3,0.5,fraction,1,0.990476190476191,0.00952380952380952,0.0296296296296296,936,945
PHM2010,vibration_y,Dropout,4,0.7,fraction,1,0.992592592592593,0.00740740740740741,0.0296296296296296,938,945
PHM2010,vibration_y,Bias,1,0.5,signal_sd,0.0296296296296296,0.00740740740740741,0.0222222222222222,0.0296296296296296,7,945
PHM2010,vibration_y,Bias,2,1,signal_sd,0.0328042328042328,0.0105820105820106,0.0222222222222222,0.0296296296296296,10,945
PHM2010,vibration_y,Bias,3,2,signal_sd,0.134391534391534,0.112169312169312,0.0222222222222222,0.0296296296296296,106,945
PHM2010,vibration_y,Bias,4,3,signal_sd,0.253968253968254,0.232804232804233,0.0211640211640212,0.0296296296296296,220,945
PHM2010,vibration_y,Noise,1,0.25,signal_sd,0.0222222222222222,0,0.0222222222222222,0.0296296296296296,0,945
PHM2010,vibration_y,Noise,2,0.5,signal_sd,0.0222222222222222,0,0.0222222222222222,0.0296296296296296,0,945
PHM2010,vibration_y,Noise,3,1,signal_sd,0.0222222222222222,0,0.0222222222222222,0.0296296296296296,0,945
PHM2010,vibration_y,Noise,4,2,signal_sd,0.0222222222222222,0,0.0222222222222222,0.0296296296296296,0,945
