Dataset,Model,MAE,RMSE,R2,MacroMAE,CleanFalseAlarmRate
NUAA,FullClean,0.0395389979984286,0.0484780809805903,0.547950382345402,0.0401942657149306,0.0394736842105263
NUAA,AutoGatedClean,0.0396399009881202,0.0485974765611469,0.545720954548046,0.0407652279460358,0.0394736842105263
PHM2010,FullClean,0.0125389316966661,0.0162291197770993,0.843566361190296,0.012538931696666,0.0296296296296296
PHM2010,AutoGatedClean,0.012608495299966,0.0162948102812626,0.842297407333684,0.012608495299966,0.0296296296296296
