DetectorFloor,DetectorQuantile,Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent
3,99,PHM2010,vibration_y,Bias,30,0.0396119929453263,0.00512931811381414,-0.649965083011707
3,99,PHM2010,vibration_y,Noise,30,0.000564373897707231,0.000772800786603409,-0.525115661667253
3,99.5,NUAA,force_z,Saturation,30,0.967543859649123,0.015543045730378,53.1128818161133
3,99.5,NUAA,force_z,Dropout,30,0.929385964912281,0.0174433752692505,20.6721284369726
3,99.5,NUAA,force_z,Bias,30,0.566228070175439,0.0471870055609287,28.1950397056173
3,99.5,NUAA,force_z,Noise,30,0.618640350877193,0.0329393224763176,47.6598064646834
3,99.5,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
3,99.5,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
3,99.5,NUAA,vibration_x,Bias,30,0.0138157894736842,0.00468399130790691,0.000479522095848998
3,99.5,NUAA,vibration_x,Noise,30,0.00657894736842105,4.41094754225289e-18,-0.42602565305533
3,99.5,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
3,99.5,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
3,99.5,NUAA,vibration_y,Bias,30,0.413377192982456,0.0515740897066845,14.4742175915741
3,99.5,NUAA,vibration_y,Noise,30,0.0236842105263158,0.00802969938498328,0.283953294885868
3,99.5,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
3,99.5,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
3,99.5,PHM2010,force_z,Bias,30,0.284409171075838,0.0158344927734435,12.0674607731449
3,99.5,PHM2010,force_z,Noise,30,0.0447971781305114,0.00496599545283716,0.931682481578487
3,99.5,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
3,99.5,PHM2010,vibration_x,Dropout,30,0.76342151675485,0.0119259138922002,-4.18968695158332
3,99.5,PHM2010,vibration_x,Bias,30,0.0398941798941799,0.00501871902027154,-0.0637031955830497
3,99.5,PHM2010,vibration_x,Noise,30,0.000388007054673721,0.000650738518368654,-0.0347161353054533
3,99.5,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
3,99.5,PHM2010,vibration_y,Dropout,30,0.654744268077601,0.0135656352780359,-9.65230295003898
3,99.5,PHM2010,vibration_y,Bias,30,0.0393650793650794,0.00508179714322451,-0.0915450054231767
3,99.5,PHM2010,vibration_y,Noise,30,0.000564373897707231,0.000772800786603409,-0.0779311794643616
4,97.5,NUAA,force_z,Saturation,30,0.985745614035087,0.0110740185727654,53.3913994474539
4,97.5,NUAA,force_z,Dropout,30,0.931359649122807,0.0151294417070825,20.61946103761
4,97.5,NUAA,force_z,Bias,30,0.622368421052632,0.0410528060864642,29.1158062167794
4,97.5,NUAA,force_z,Noise,30,0.642324561403509,0.031503394445036,48.2524546944687
4,97.5,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
4,97.5,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
