Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianReplacementMAE,CleanMaskDropoutMAE,CleanAutoMAE,CleanTriggerRate,FullRelativeMAE,MedianReplacementRelativeMAE,MaskDropoutRelativeMAE,AutoRelativeMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent
1,2026071801,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.22663855873787,1.01846641845993,0.977561513579776,0.988950269228345,54.2599127971076,56.0969826133844,55.5855050947778
1,2026071801,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.22519429317529,1.14287085241829,1.2891098745468,1.17028245587409,48.6395028100021,42.0675363719687,47.4076282029231
1,2026071801,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.26349757922392,0.987286125456764,0.910852630601692,0.982280592809597,21.8608613351527,27.9102195699362,22.2570261343161
1,2026071801,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.28383322873218,0.957449297967025,0.96494800657322,0.976759117357547,25.4226112442557,24.8385238068553,23.9185358738439
1,2026071801,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.62942959114131,1.16308219834004,1.19588943469058,1.41738718299515,28.6202849964585,26.6068665260376,13.0132906201636
1,2026071801,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.16753900391954,1.03522863587479,1.01320623483874,0.962876564051106,11.3324152427088,13.218639254251,17.5293878132858
1,2026071801,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.04755562669478,1.00372900067315,0.975203368540811,0.991428183905443,4.1837039394178,6.90677003781173,5.3579438990201
1,2026071801,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.28268178260591,1.03317983533448,1.01988243345247,1.05057214705459,19.4515857833842,20.4882732971803,18.0956523043275
1,2026071801,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.971149107122845,1.02271294003216,1.08434753476643,1.08387388400081,-5.3095691002675,-11.6561325972841,-11.6073603992626
1,2026071801,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.17547995025466,0.918686425110464,1.11622780065831,1.11858581132348,21.8458447622658,5.04067717901166,4.8400773589415
1,2026071801,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.03377205045912,1.12601085499648,1.12770147290385,1.04107203922462,-8.92254772184997,-9.08608647360971,-0.70615071884144
1,2026071801,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.35369775253086,0.961421822325184,0.798053193942035,0.899240992875008,28.9781030863265,41.0464269110294,33.5715087659861
