Comparator,IndependentUnitN,TechnicalRepeatN,ComparatorRelativeMAE,SQTRRelativeMAE,MeanDifferenceComparatorMinusSQTR,BootstrapCILower,BootstrapCIUpper,RelativeReductionPercent,UnitsFavoringSQTR,UnitsFavoringComparator,SignedRankStatistic,RawP,HolmAdjustedP,SignificantAfterHolm
Detector-guided median replacement,12,30,1.03999396144179,1.06694803155936,-0.0269540701175744,-0.088965506071055,0.0234452872721286,-2.59175255981361,6,6,36,0.85009765625,0.939453125,0
Mask-aware sensor-dropout ridge,12,30,1.04829246527356,1.06694803155936,-0.0186555662857974,-0.067734373441708,0.0272722021331655,-1.77961464989916,4,8,29,0.4697265625,0.939453125,0
