ConditionOverlapPercent,OverlappingConditionN,Repeat,Seed,TrainCaseN,TestCaseN,TrainRecordN,TestRecordN,FixedPooledMAE,ReducedPooledMAE,SQTRPooledMAE,FixedCaseMacroMAE,ReducedCaseMacroMAE,SQTRCaseMacroMAE,FixedMinusSQTRPooled,FixedMinusSQTRCaseMacro,LambdaAll,LambdaReduced,Gate,TestCases
0,0,1,2026082401,8,8,66,80,0.137506097460705,0.13596326496025,0.136649010888188,0.139191335523297,0.137822190560906,0.13781948694437,0.000857086572516458,0.0013718485789268,316.227766016838,316.227766016838,0.01,3|4|5|7|10|11|13|16
0,0,2,2026082402,8,8,83,63,0.114980172660453,0.176535155488566,0.126820381593713,0.126004142486526,0.18849079829899,0.146710321061528,-0.0118402089332599,-0.0207061785750013,1000,1,0.5,2|4|5|8|10|12|14|16
0,0,3,2026082403,8,8,91,55,0.195890534802463,0.380641554075703,0.322188021045756,0.211246366493957,0.370215033016856,0.333449477868504,-0.126297486243293,-0.122203111374547,1000,31.6227766016838,0.5,1|4|5|6|9|10|15|16
0,0,4,2026082404,8,8,88,58,0.282745953456312,0.168237870268418,0.16938265732829,0.269234785505564,0.183774841052856,0.191265791560696,0.113363296128021,0.0779689939448683,3.16227766016838,1,0.5,2|4|5|6|10|12|15|16
0,0,5,2026082405,8,8,61,85,0.100938137290084,0.105417748632107,0.101803606310951,0.108405752790762,0.109944689593907,0.108181997019505,-0.000865469020866871,0.000223755771256542,316.227766016838,316.227766016838,0.1,1|3|4|8|9|10|11|14
0,0,6,2026082406,8,8,58,88,0.112831350932845,0.114704351499897,0.113571624915993,0.122001698986786,0.123810615664765,0.121865001357098,-0.000740273983147938,0.000136697629688265,316.227766016838,316.227766016838,0.5,2|3|5|7|11|12|13|16
0,0,7,2026082407,8,8,74,72,0.141948878766446,0.171576990780912,0.172439201300184,0.178991894147218,0.221860638194669,0.222450988262759,-0.0304903225337376,-0.0434590941155414,1000,316.227766016838,0.5,1|3|5|6|9|11|15|16
0,0,8,2026082408,8,8,90,56,0.176075157254555,0.177766527658603,0.176785430657758,0.142305824573555,0.14375290959146,0.142864143984422,-0.00071027340320301,-0.000558319410866788,100,100,0.01,4|6|7|8|10|13|14|15
0,0,9,2026082409,8,8,93,53,0.163682001193863,0.121557295197362,0.118645359941014,0.170546473358813,0.1514299217076,0.148233944510081,0.0450366412528485,0.0223125288487323,316.227766016838,316.227766016838,0.5,2|5|6|8|12|14|15|16
0,0,10,2026082410,8,8,78,68,4.08153482622173,0.151343617747151,0.289802496882693,4.68803737783312,0.17562551173186,0.263620471037355,3.79173232933903,4.42441690679577,316.227766016838,316.227766016838,0.5,1|2|5|8|9|12|14|16
