ConditionOverlapPercent,OverlappingConditionN,MonteCarloRepeatN,FixedPooledMean,FixedPooledSD,FixedPooledP025,FixedPooledP975,SQTRPooledMean,SQTRPooledSD,SQTRPooledP025,SQTRPooledP975,FixedCaseMacroMean,SQTRCaseMacroMean,FixedMinusSQTRPooledMean,FixedMinusSQTRPooledP025,FixedMinusSQTRPooledP975,FixedMinusSQTRCaseMacroMean
0,0,100,0.334292710814121,0.766866684676314,0.103723414158798,4.03130679845735,0.175119731409233,0.0670769770754935,0.10429392760278,0.361030586604199,0.36998011713861,0.177729506263417,0.159172979404887,-0.0558024606693818,3.67192805298066,0.192250610875194
25,2,100,0.226751908528487,0.424723922993356,0.107336508784158,0.773705643794463,0.157841784470534,0.0548553618760231,0.0927803071946451,0.319867720086477,0.242456960275806,0.160131663231909,0.0689101240579524,-0.0326743317828651,0.558895405291779,0.0823252970438964
50,4,100,0.159689683179824,0.0886947082847338,0.0980947601298308,0.363020184402476,0.144516839111527,0.0392437047640716,0.0961702198389335,0.260507139651792,0.164648486070719,0.15022131407527,0.0151728440682965,-0.0266375312218567,0.10922835349683,0.0144271719954496
75,6,100,0.139924458662655,0.0364570437041932,0.0911783704862842,0.208978456836923,0.131633365921812,0.034732696125856,0.0887532595793007,0.197584157012935,0.145827402718146,0.13877880620441,0.0082910927408426,-0.0143483949145962,0.0775183620048192,0.0070485965137359
100,8,100,0.131565034266492,0.020500141000157,0.08981832428639,0.174047189768765,0.123998229474677,0.0212050039695307,0.0789023558808822,0.157262763635622,0.137073814919693,0.13078867890398,0.00756680479181479,-0.00498323362275532,0.0517662948173774,0.00628513601571313
