modelNames,MAE,conditionMacroMAE,RMSE,R2,P95AbsoluteError,MaximumAbsoluteError
FixedAllSensorTime,0.143903984139639,0.15945536814721,0.214966512619409,0.314484541679316,0.507838610643591,1.07004245564683
FixedReducedTime,0.145331884489047,0.162926109015153,0.212552111971771,0.329796826852463,0.492410219875662,1.06090211628428
SQTR,0.141892150517551,0.159698028698412,0.209418099517052,0.34941498097615,0.46010672672577,1.06090211628428
