ConditionID,Material,Feed,DOC,RecordN,CaseN,FixedAllSensorTimeMAE,FixedReducedTimeMAE,SQTR_MAE,ComparatorMinusSQTR
4,1,0.25,0.75,22,2,0.114643823956886,0.10034572920217,0.112969757134413,0.00167406682247305
3,1,0.25,1.5,25,2,0.0746591470101099,0.0689315831392895,0.0597555470567441,0.0149035999533658
1,1,0.5,0.75,34,2,0.0592267702320495,0.0713400538383826,0.0592267702320495,0
2,1,0.5,1.5,17,2,0.281910269680161,0.295529450153459,0.278576338869041,0.00333393081111977
8,2,0.25,0.75,9,2,0.181184880281112,0.231877405940517,0.229826118420094,-0.0486412381389826
6,2,0.25,1.5,7,2,0.143712490792939,0.137573306441758,0.12650489467138,0.017207596121559
5,2,0.5,0.75,20,2,0.266854499107129,0.251793888991554,0.263106965825004,0.0037475332821249
7,2,0.5,1.5,12,2,0.153451064117292,0.146017454414091,0.147617837378569,0.00583322673872305
