Repeat,Seed,FullRelativeMAE,AutoRelativeMAE,RelativeImprovementPercent,MinimumUnitImprovementPercent,MaximumUnitImprovementPercent,IndependentUnitRows
1,2026071801,1.38837237704986,1.05684697291889,23.8787093153943,-11.6073603992626,55.5855050947778,12
2,2026071802,1.38914966031281,1.07423330505883,22.6697212151401,-12.8028972785584,51.3758497972837,12
3,2026071803,1.42039203358541,1.06475308532301,25.0380838425771,-15.8452426169846,54.8515244833462,12
4,2026071804,1.39198923255296,1.07045792628941,23.0986920548118,-7.05223663555999,52.6483181461412,12
5,2026071805,1.37531583728859,1.07220329201025,22.039486280905,-21.8154093495507,48.3977670866073,12
6,2026071806,1.38337293069994,1.06402300404227,23.0848760714214,-13.8788894684658,55.6717914438193,12
7,2026071807,1.38541853957763,1.06740743621034,22.9541538735465,-19.9160920329862,53.3544404936111,12
8,2026071808,1.40346018810163,1.06510363639587,24.1087388565999,-12.6986488005571,54.48176303769,12
9,2026071809,1.40820938751227,1.06262965337172,24.5403657442627,-15.0753836191792,54.5043948398577,12
10,2026071810,1.39282484733052,1.07216556323783,23.0222259968484,-18.0121284820877,50.8662467237228,12
11,2026071811,1.40657512193351,1.06390883419512,24.3617480783649,-13.9427161085936,56.4781280261813,12
12,2026071812,1.39724125648385,1.07193567669769,23.2819907282718,-13.6979872894763,53.6948532259024,12
13,2026071813,1.39038209372096,1.07177048476652,22.9153993275162,-17.3656167941605,52.7069679702025,12
14,2026071814,1.39578851381939,1.06996246923334,23.3435109517037,-13.1788781213134,53.9184986698203,12
15,2026071815,1.36179089251257,1.06356558499141,21.8994934656172,-21.569207613667,50.9941353469864,12
16,2026071816,1.40475519337661,1.074517187222,23.5085805492427,-15.2666545221939,55.6104060109259,12
17,2026071817,1.39127642806292,1.06425706755321,23.504988218985,-19.1120417468128,53.4154166643549,12
18,2026071818,1.39603641277161,1.07011265834925,23.3463648541438,-12.5586758003869,50.7488138067089,12
19,2026071819,1.39667407657285,1.06944632107151,23.4290706035224,-18.3415595844378,51.7936310585384,12
20,2026071820,1.40378505366319,1.06401270422037,24.2040153195952,-15.0265380209161,52.5540298262797,12
21,2026071821,1.39823528484706,1.06884764322437,23.5573830236101,-21.0277678543976,55.1008787709674,12
22,2026071822,1.38118158574016,1.06488570962085,22.9003832215016,-15.1953559492987,54.3899312377071,12
23,2026071823,1.36933799412819,1.06532916660288,22.201153318532,-11.7470149400533,51.738424759799,12
24,2026071824,1.40362802967853,1.0653544337938,24.0999459067659,-14.0065891379105,53.8200350322039,12
25,2026071825,1.3822960933303,1.06173733144647,23.1903109203989,-12.1105827859148,53.3634234410778,12
26,2026071826,1.40370481901233,1.06624217989872,24.0408549249727,-17.4089439505998,55.0418036528899,12
27,2026071827,1.3870210639726,1.0644856939672,23.2538191656316,-13.8093184364059,53.6834141753471,12
28,2026071828,1.38461623039173,1.07216168287971,22.566147980486,-15.9351287672114,54.8974561100936,12
29,2026071829,1.38081397256101,1.06426631746646,22.9247140733555,-14.5274577725359,52.4288316263426,12
30,2026071830,1.39436437213883,1.05944476769204,24.0195182219877,-18.318462714946,52.2360091266331,12
