Comparator,IndependentUnitN,TechnicalRepeatN,ComparatorRelativeMAE,SQTRRelativeMAE,MeanDifferenceComparatorMinusSQTR,BootstrapCILower,BootstrapCIUpper,RelativeReductionPercent,UnitsFavoringSQTR,UnitsFavoringComparator,SignedRankStatistic,RawP,HolmAdjustedP,SignificantAfterHolm
Detector-guided median replacement,12,30,1.03967050473501,1.06686892632504,-0.0271984215900365,-0.089586023145132,0.0234452872721286,-2.6160616720553,6,6,36,0.85009765625,0.85009765625,0
Mask-aware sensor-dropout ridge,12,30,1.04752513269369,1.06686892632504,-0.0193437936313594,-0.0682646937383227,0.0266606023802034,-1.84661857053656,4,8,28,0.423828125,0.84765625,0
