Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianReplacementMAE,CleanMaskDropoutMAE,CleanAutoMAE,CleanTriggerRate,FullRelativeMAE,MedianReplacementRelativeMAE,MaskDropoutRelativeMAE,AutoRelativeMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent
1,2026071801,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.22663855873787,1.01846641845993,0.977561513579776,0.988950269228345,54.2599127971076,56.0969826133844,55.5855050947778
1,2026071801,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.22519429317529,1.14287085241829,1.2891098745468,1.17028245587409,48.6395028100021,42.0675363719687,47.4076282029231
1,2026071801,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.26349757922392,0.987286125456764,0.910852630601692,0.982280592809597,21.8608613351527,27.9102195699362,22.2570261343161
1,2026071801,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.28383322873218,0.957449297967025,0.96494800657322,0.976759117357547,25.4226112442557,24.8385238068553,23.9185358738439
1,2026071801,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.62942959114131,1.16308219834004,1.19588943469058,1.41738718299515,28.6202849964585,26.6068665260376,13.0132906201636
1,2026071801,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.16753900391954,1.03522863587479,1.01320623483874,0.962876564051106,11.3324152427088,13.218639254251,17.5293878132858
1,2026071801,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.04755562669478,1.00372900067315,0.975203368540811,0.991428183905443,4.1837039394178,6.90677003781173,5.3579438990201
1,2026071801,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.28268178260591,1.03317983533448,1.01988243345247,1.05057214705459,19.4515857833842,20.4882732971803,18.0956523043275
1,2026071801,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.971149107122845,1.02271294003216,1.08434753476643,1.08387388400081,-5.3095691002675,-11.6561325972841,-11.6073603992626
1,2026071801,PHM2010,c1,315,0.00801215564201792,0.00821963004933839,0.0103057563070408,0.00820980429070593,0.155555555555556,1.17547995025466,0.950961707446039,1.16067955042486,1.12354982673098,19.1001337589788,1.25909419608428,4.41778045745726
1,2026071801,PHM2010,c4,315,0.0150087833008585,0.0153940371669928,0.0154407371591061,0.0151602866397703,0.0857142857142857,1.03377205045912,1.12470827855782,1.12610815307854,1.04208869127241,-8.79654543361982,-8.93195966929204,-0.804494647499185
1,2026071801,PHM2010,c6,315,0.0145958561471217,0.0128306963206124,0.0109405491172038,0.0133638349083548,0.26984126984127,1.35369775253086,0.962793982933035,0.79802000542501,0.898541824037614,28.8767392031934,41.0488786043238,33.6231575802127
