Dataset,Unit,TrainingSelectedFixedRelativeMAE,TransferredLearnedRelativeMAE,OracleRelativeMAE,ActionOverrideRate
NUAA,W1,1.0646242903749,1.06708416581739,0.834974873763223,0.986159003831418
NUAA,W2,1.12388278728006,1.13630002886195,0.876846328297378,0.743055555555556
NUAA,W3,0.991525291509116,0.991673533108798,0.848881436365821,0.795959595959596
NUAA,W4,0.982583941535619,1.00496944308811,0.827867957795044,0.745535714285714
NUAA,W5,1.29447877958514,1.43783524038031,1.03863837418117,0.895436507936508
NUAA,W6,1.01802266235796,1.02114544838179,0.893880141927171,0.81468253968254
NUAA,W7,0.995037345543936,0.995003869588019,0.915600534302774,0.749479166666667
NUAA,W8,1.0435279023679,1.05014403852984,0.982026797472948,0.816935483870968
NUAA,W9,1.05467706568355,1.08973455234269,0.91604392320705,0.995238095238095
PHM2010,c1,1.09201183276356,1.07920064381005,0.853158620376817,0.776565255731922
PHM2010,c4,1.08683322248933,1.05003459398124,0.952633494226171,1
PHM2010,c6,1.08911454518357,1.09947182673189,0.790362875654058,0.972495590828924
