Dataset,IndependentUnitN,FullRelativeMAE,MedianRelativeMAE,MaskDropoutRelativeMAE,ExclusionRelativeMAE,TrainingSelectedFixedRelativeMAE,LearnedPolicyRelativeMAE,SelectivePolicyRelativeMAE,OracleEnvelopeRelativeMAE,MeanRegretToOracle,SelectiveMeanRegretToOracle,CleanNonFullActionRate
NUAA,9,1.30512691820902,1.05926730605646,1.09340867973788,1.08544639778321,1.05795158018242,1.0890700515991,1.05795158018242,0.903862263034731,0.185207788564367,0.154089317147689,0.0197044334975369
PHM2010,3,1.12754803261623,1.04893810369681,1.09326595914695,1.05203745195217,1.08931986681215,1.0964517615905,1.08636636446643,0.865384996752349,0.231066764838154,0.220981367714081,0.0201058201058201
Combined,12,1.26073219681082,1.05668500546655,1.09337299959015,1.07709416132545,1.06579365183985,1.09091547909695,1.06505527625342,0.894242946464136,0.196672532632814,0.170812329789287,0.0198047801496077
