Dataset,Unit,TrainingSelectedFixedRelativeMAE,TransferredLearnedRelativeMAE,OracleRelativeMAE,ActionOverrideRate
NUAA,W1,1.06462429037489,1.078122018469,0.834974873763228,0.914176245210728
NUAA,W2,1.14224244938075,1.10802355039692,0.876846328297377,0.885294117647059
NUAA,W3,0.994979166668678,0.975416863900674,0.848881436365822,0.849368686868687
NUAA,W4,0.982583941535621,1.0620589008525,0.827867957795043,0.971081349206349
NUAA,W5,1.22932327288805,1.43142086421189,1.03863837418116,0.928769841269841
NUAA,W6,1.01802266235796,0.995553941027465,0.89388014192717,0.897321428571429
NUAA,W7,1.00342500325073,0.999781281314238,0.915600534302774,0.9234375
NUAA,W8,1.04352790236789,1.04796288096468,0.982026797472949,0.930600358422939
NUAA,W9,1.05467706568356,1.09756018589757,0.916043923207051,0.967857142857143
PHM2010,c1,0.970866543417529,1.03378585535973,0.853158620376816,0.900357142857143
PHM2010,c4,1.08683322248933,1.08782939580397,0.952633494226171,0.938112874779541
PHM2010,c6,1.08911454518357,1.13873386751259,0.790362875654059,0.879219576719577
