Response,IndependentUnitN,TechnicalRepeatN,FixedRelativeMAE,ResponseRelativeMAE,FixedMinusResponse,BootstrapCI_Lower,BootstrapCI_Upper,UnitsFavourResponse,UnitsFavourFixed,TiedUnits,SignedRankStatistic,RawP,HolmAdjustedP,SignificantAfterHolm
Median replacement,12,30,1.77021443424683,1.11418948849262,0.656024945754201,0.271281508110658,1.11732442812039,10,2,0,73,0.0048828125,0.01953125,1
Single-mask-trained dropout,12,30,1.77021443424683,1.10210750502353,0.668106929223292,0.275536548619331,1.10589222027081,10,2,0,72,0.0068359375,0.0205078125,1
Multi-mask-trained dropout,12,30,1.77021443424683,1.16613347947375,0.604080954773076,0.228149421469333,1.05659626232397,10,2,0,71,0.00927734375,0.0205078125,1
Single-channel SQTR,12,30,1.77021443424683,1.43393331966048,0.336281114586344,0.142156937528597,0.564361185169752,11,1,0,75,0.00244140625,0.01220703125,1
Subset routing,12,30,1.77021443424683,1.15008270175789,0.620131732488935,0.23894206638441,1.06933887378059,10,2,0,72,0.0068359375,0.0205078125,1
