Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
1,2026081501,NUAA,W6,force_z+vibration_y,Dropout,14,0.857142857142857,0.857142857142857,0.142857142857143,0,0
1,2026081501,NUAA,W7,force_z+vibration_y,Dropout,8,0.875,0.875,0.125,0,0
1,2026081501,NUAA,W8,force_z+vibration_y,Dropout,31,0.967741935483871,0.967741935483871,0.032258064516129,0,0
1,2026081501,NUAA,W9,force_z+vibration_y,Dropout,7,1,1,0,0,0
1,2026081501,NUAA,W1,force_z+vibration_y,Bias,29,0.413793103448276,0.413793103448276,0.310344827586207,0.275862068965517,0
1,2026081501,NUAA,W2,force_z+vibration_y,Bias,17,0.411764705882353,0.411764705882353,0.529411764705882,0.0588235294117647,0
1,2026081501,NUAA,W3,force_z+vibration_y,Bias,11,0.636363636363636,0.636363636363636,0.272727272727273,0.0909090909090909,0
1,2026081501,NUAA,W4,force_z+vibration_y,Bias,28,0.357142857142857,0.357142857142857,0.428571428571429,0.214285714285714,0
1,2026081501,NUAA,W5,force_z+vibration_y,Bias,7,0.428571428571429,0.428571428571429,0.428571428571429,0.142857142857143,0.142857142857143
1,2026081501,NUAA,W6,force_z+vibration_y,Bias,14,0.142857142857143,0.142857142857143,0.5,0.357142857142857,0
1,2026081501,NUAA,W7,force_z+vibration_y,Bias,8,0.125,0.125,0.625,0.25,0
1,2026081501,NUAA,W8,force_z+vibration_y,Bias,31,0.290322580645161,0.290322580645161,0.451612903225806,0.258064516129032,0
1,2026081501,NUAA,W9,force_z+vibration_y,Bias,7,0.142857142857143,0.142857142857143,0.571428571428571,0.285714285714286,0
1,2026081501,NUAA,W1,force_z+vibration_y,Noise,29,0.0689655172413793,0.0689655172413793,0.724137931034483,0.206896551724138,0
1,2026081501,NUAA,W2,force_z+vibration_y,Noise,17,0,0,0.705882352941177,0.294117647058824,0
1,2026081501,NUAA,W3,force_z+vibration_y,Noise,11,0,0,0.636363636363636,0.363636363636364,0
1,2026081501,NUAA,W4,force_z+vibration_y,Noise,28,0.0714285714285714,0.0714285714285714,0.392857142857143,0.535714285714286,0
1,2026081501,NUAA,W5,force_z+vibration_y,Noise,7,0,0,1,0,0.142857142857143
1,2026081501,NUAA,W6,force_z+vibration_y,Noise,14,0,0,0.571428571428571,0.428571428571429,0
1,2026081501,NUAA,W7,force_z+vibration_y,Noise,8,0,0,0.75,0.25,0
1,2026081501,NUAA,W8,force_z+vibration_y,Noise,31,0.032258064516129,0.032258064516129,0.612903225806452,0.354838709677419,0
1,2026081501,NUAA,W9,force_z+vibration_y,Noise,7,0,0,0.714285714285714,0.285714285714286,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,Saturation,29,1,1,0,0,0
