Dataset,IndependentUnitN,TechnicalRepeatN,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,CleanAnyTriggerRate,UnitsFavourSubset
NUAA,9,30,1.28450553202912,1.09976266398188,1.15258213118365,1.13652549084581,1.14472404794966,0.0405760005151486,7
PHM2010,3,30,1.12588943649701,1.10865679916852,1.07058261982545,1.09250079981235,1.03397245438959,0.0296296296296296,1
