Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent
1,2026081501,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.61660389635502,1.10310212634197,1.09931474165952,1.06161427442638,0.897245235256814,34.3305879182884,31.9985097067898
1,2026081501,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,1.81989107110282,1.28714704172242,1.32364830232334,1.28156642699905,1.30145579841828,29.5800475452387,27.2677181980327
1,2026081501,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.0970827410516,0.966548449516878,0.99240612477501,0.946656659938697,0.884640170041743,13.7114618145128,9.54136022377404
1,2026081501,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.10402325914929,1.00428754325545,1.07339097279727,1.00562793835787,0.940176092670744,8.91243186916563,2.7746051632668
1,2026081501,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.51840543529559,1.25864893301565,1.59709701160805,1.48019121343696,1.61660246794397,2.51673373727045,-5.18251413510904
1,2026081501,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.09229259115188,1.01977316952511,0.997503669030513,0.992074415579927,0.984256071863097,9.17503024224211,8.67797904052507
1,2026081501,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,0.988223273152106,1.00187682501153,0.991129092458716,0.991814963022764,0.987694639914898,-0.363449229363013,-0.2940448161417
1,2026081501,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.25384094830575,1.09526406512482,1.11756331848968,1.21644971658043,1.48740138951196,2.9821351564447,10.8688131457354
1,2026081501,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.916500778819981,1.11671686294291,1.1441822066138,1.13813698129103,1.20304456592544,-24.1828711543931,-24.8424696471033
1,2026081501,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.08303291393236,0.998487152113231,1.06782588724855,1.10122996778963,1.26832012139733,-1.68019398332006,1.40411491545513
1,2026081501,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01459452634761,1.10881577779054,0.99300252303477,1.02449244354854,1.08627253308084,-0.975553971946507,2.12814111964153
1,2026081501,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.28443404050568,1.23098050198983,1.1658011567797,1.16428970862513,0.747324708690607,9.35387323067555,9.23619897828825
2,2026081502,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.66457507666648,1.15109673484897,1.17302988133812,1.11327563504353,0.897245235256814,33.1195299840119,29.5297702229655
