Response,IndependentUnitN,TechnicalRepeatN,FixedRelativeMAE,ResponseRelativeMAE,FixedMinusResponse,BootstrapCI_Lower,BootstrapCI_Upper,UnitsFavourResponse,UnitsFavourFixed,TiedUnits,SignedRankStatistic,RawP,HolmAdjustedP,SignificantAfterHolm
Median replacement,12,30,1.24485150814609,1.10198619777854,0.142865310367552,0.0176551528688871,0.291865810606231,9,3,0,62,0.0771484375,0.2314453125,0
Single-channel SQTR,12,30,1.24485150814609,1.1320822533441,0.112769254801991,-0.00961471340686844,0.250075198525594,10,2,0,61,0.09228515625,0.2314453125,0
Subset routing,12,30,1.24485150814609,1.12551931808745,0.119332190058642,-0.00226503747095166,0.27014059319678,8,4,0,58,0.1513671875,0.2314453125,0
