Comparator,IndependentUnitN,TechnicalRepeatN,ComparatorRelativeMAE,SQTRRelativeMAE,MeanDifferenceComparatorMinusSQTR,BootstrapCILower,BootstrapCIUpper,RelativeReductionPercent,UnitsFavoringSQTR,UnitsFavoringComparator,SignedRankStatistic,RawP,HolmAdjustedP,SignificantAfterHolm
Detector-guided median replacement,12,30,1.05825011004593,1.08267571551188,-0.0244256054659535,-0.082320973117927,0.0214574309095804,-2.30811272629052,6,6,35,0.791015625,1,0
Mask-aware sensor-dropout ridge,12,30,1.06645988958118,1.08267571551188,-0.0162158259307023,-0.0695601043761733,0.0335362366181461,-1.52052844079027,5,7,34,0.7333984375,1,0
