TrainingSeedBase,MaskDropoutRelativeMAE,ComparatorMinusSQTR,UnitsFavoringSQTR,UnitsFavoringComparator
20260718,1.06645988958118,-0.0162158259307023,5,7
20260801,1.11307364125858,0.0303979257466981,9,3
20260802,1.11668244294079,0.0340067274289122,8,4
20260803,1.06396343935918,-0.0187122761527003,5,7
20260804,1.04017018674583,-0.0425055287660471,5,7
