Model,MAE,RMSE,R2,P95AbsoluteError,MaximumAbsoluteError,MacroMAE
ProcessTime,0.132047706990989,0.198460448858336,0.415716571375548,0.415488574624814,1.02926175360323,0.146381843162415
ProcessTimeQ,0.133828059558938,0.1879053138118,0.476214159344736,0.350869692203497,0.879315271827738,0.144711288409097
AllTime,0.116209976802627,0.204076379023021,0.382181213211466,0.484787160103622,1.21809162447455,0.124489874494262
AllTimeQ,0.116419757173577,0.20348853026348,0.385735381777159,0.481974747388548,1.20707835928522,0.124809902627675
DropTime,0.119028237767688,0.182253416187289,0.507249599827428,0.356059321431491,1.04163260812232,0.127945263043898
DropTimeQ,0.113259943273187,0.180675865920929,0.515742985525047,0.357434455378648,1.05764450448441,0.124083553732312
RouteOnly,0.108772765115727,0.175923171578738,0.540884745839963,0.349257394147829,1.04163260812232,0.119305750340566
RoutePlusQ,0.109442249977422,0.17814170817733,0.529232085737869,0.355492161641226,1.05764450448441,0.119885605929383
