caseList,caseSampleCount,ProcessTimeMAE,ProcessTimeQMAE,AllTimeMAE,AllTimeQMAE,DropTimeMAE,DropTimeQMAE,RouteOnlyMAE,RoutePlusQMAE
1,13,0.0302626762278118,0.124750236102497,0.0299123347366373,0.0316550550615836,0.0341717397151992,0.0396022875136076,0.0344647875260153,0.0392566482590079
2,13,0.0757247412497922,0.0537350487837111,0.0555425064699558,0.0548868260862178,0.136419022879018,0.0465267684130147,0.0564359419412118,0.0528930816880287
3,14,0.142631541842312,0.120824200286177,0.0575266978515599,0.0565742963399462,0.0606966611673468,0.0608619238204285,0.0575266978515599,0.0575266978515599
4,7,0.0822049525353638,0.126627786764117,0.0652286560297278,0.0674111594889054,0.119801825627117,0.125312645119052,0.0652286560297278,0.0652286560297278
5,6,0.187932655222335,0.165255845785115,0.206550069152016,0.207549452506135,0.238870381687916,0.237572898465475,0.235995449905217,0.2358790649396
6,1,0.363511069393916,0.289187012216288,0.124119761958048,0.126066406337307,0.12389547124744,0.125955228370895,0.124119761958048,0.124119761958048
7,7,0.158584437270635,0.171314606087175,0.11330327288481,0.113884054135287,0.126057250849639,0.126853236744548,0.11330327288481,0.11330327288481
8,5,0.154774147435163,0.16014660740183,0.117950424326772,0.119879402054757,0.118810818796059,0.120647748300256,0.117950424326772,0.117950424326772
9,9,0.0987924594249485,0.0917709279528693,0.124646673194463,0.124685421650139,0.117497110807996,0.117355115568405,0.122229592969719,0.124311871833674
10,10,0.0723767264622596,0.0756255352008774,0.0909355693127369,0.0908087517462108,0.0813966848239617,0.0800887196449541,0.0881261777837515,0.0891321566811405
11,20,0.143324408596103,0.136206871780679,0.0633645228231384,0.0647713309590086,0.0686579165719648,0.0702504323098338,0.0633645228231384,0.0633645228231384
12,12,0.0388367666988509,0.0461850383027634,0.133338352532311,0.133308729198693,0.0492674104195671,0.0494068988054195,0.0409290198701553,0.0400690585034194
13,13,0.339996978519972,0.32939277499139,0.338972796755815,0.338581711421395,0.324232880537921,0.341068212752773,0.333070874900593,0.3385926947899
14,7,0.224033018064671,0.155671011594684,0.173090145533637,0.169744217686051,0.159444092282064,0.155998685130169,0.163472926593949,0.160629222974459
15,6,0.110931462402054,0.107193741804772,0.146200555447133,0.144586326790834,0.13594837816722,0.13335137241478,0.140717334962439,0.141427872983462
16,3,0.118191449252455,0.161493369490606,0.151155652899432,0.152565300580336,0.151956563121942,0.154484686343374,0.151956563121942,0.154484686343374
