Comparison,ModelA,ModelB,PooledMAEDifferenceBMinusA,MacroMAEDifferenceBMinusA,MacroDifferenceCILower,MacroDifferenceCIUpper,CasesImprovedByB,RawP,HolmP
RouteOnly_vs_AllTime,AllTime,RouteOnly,-0.00743721168689927,-0.00518412415369639,-0.0182738027588149,0.00404269778027633,6,0.322265625,0.64453125
RoutePlusQ_vs_AllTime,AllTime,RoutePlusQ,-0.00676772682520427,-0.00460426856487936,-0.017862533017964,0.00473493645111882,7,0.556640625,0.64453125
