Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent,MeanDurationFraction,MeanSeverity
NUAA,force_z,Saturation,30,0.967105263157894,0.0150618808282194,53.0638338156731,0.399020553613549,0.399020553613549
NUAA,force_z,Dropout,30,0.929166666666667,0.0175924727265529,20.6675950078649,0.396277423676098,0.396277423676098
NUAA,force_z,Bias,30,0.56469298245614,0.0475697517801705,28.0890560114867,0.605190461543505,1.7233065104493
NUAA,force_z,Noise,30,0.617543859649123,0.0323564548826504,47.5159833889533,0.600196255682826,1.11642440011966
NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805,0.402713837578869,0.402713837578869
NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407,0.401269363311528,0.401269363311528
NUAA,vibration_x,Bias,30,0.0646929824561403,0.016668955012134,0.165874640314819,0.594461926831551,1.74686807895362
NUAA,vibration_x,Noise,30,0.00811403508771929,0.00331583508548507,-0.292156384342557,0.592739893181283,1.11649570001768
NUAA,vibration_y,Saturation,30,1,0,24.9581641823801,0.402741260052425,0.402741260052425
NUAA,vibration_y,Dropout,30,1,0,9.11497907264581,0.39851905877917,0.39851905877917
NUAA,vibration_y,Bias,30,0.489912280701754,0.0486754214528467,15.6171404124771,0.603324001263997,1.73562364141651
NUAA,vibration_y,Noise,30,0.0432017543859649,0.0131219260342046,0.821898557309274,0.604710951743571,1.12903922967665
PHM2010,force_z,Saturation,30,1,0,41.1674683924903,0.40043253733908,0.40043253733908
PHM2010,force_z,Dropout,30,1,0,50.0166272725524,0.399301941903711,0.399301941903711
PHM2010,force_z,Bias,30,0.508994708994709,0.0154051336511515,15.8706360586711,0.602214614066156,1.74600267799102
PHM2010,force_z,Noise,30,0.233756613756614,0.0113201762900172,3.38085477372673,0.603067704117762,1.12589676277526
PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328,0.402930376718451,0.402930376718451
PHM2010,vibration_x,Dropout,30,0.831746031746032,0.0100926819632471,-5.39260955201407,0.399721810466081,0.399721810466081
PHM2010,vibration_x,Bias,30,0.151640211640212,0.0107992658836847,0.938901592682808,0.599644363293679,1.757615069846
PHM2010,vibration_x,Noise,30,0.00564373897707231,0.00108818435790768,-0.3328280107232,0.601416938530062,1.12458940713474
PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647,0.399847271976569,0.399847271976569
PHM2010,vibration_y,Dropout,30,0.659647266313933,0.0134929995513555,-9.98718450056356,0.399529885732181,0.399529885732181
PHM2010,vibration_y,Bias,30,0.0396119929453263,0.00512931811381414,-0.649965083011707,0.599247144442521,1.75683887521628
PHM2010,vibration_y,Noise,30,0.000564373897707231,0.000772800786603409,-0.525115661667253,0.601736401455741,1.1219526266292
