Model,ActualWearThreshold,HighWearRecordN,MAE,RMSE,MeanResidual,MedianResidual,UnderpredictionRate,MeanUnderpredictionAmount,P90UnderpredictionAmount,LargeUnderpredictionN,LargeUnderpredictionRate,AlertMissN,AlertMissRate,AlertSensitivity,DangerousMissN_ActualGE04_PredLT02,LargeUnderestimateMargin
PrimaryTimeGated,0.3,70,0.141557779525272,0.226491159725876,-0.0709803800651251,-0.039791169451588,0.557142857142857,0.106269079795199,0.289394427990186,10,0.142857142857143,7,0.1,0.9,0,0.2
PrimaryTimeGated,0.4,52,0.162860298700978,0.255977799894564,-0.101726108245786,-0.0620815702136375,0.615384615384615,0.132293203473382,0.490201887905439,10,0.192307692307692,12,0.230769230769231,0.769230769230769,0,0.2
PrimaryTimeGated,0.6,20,0.280370320626248,0.384845597134885,-0.261833583486199,-0.139640358365323,0.9,0.271101952056224,0.615403095982147,9,0.45,14,0.7,0.3,0,0.2
PrimaryTimeGated,0.8,8,0.525327122627571,0.583538323005831,-0.525327122627571,-0.523784050998768,1,0.525327122627571,0.928754147954751,7,0.875,8,1,0,0,0.2
SafetyWeightedTimeGated,0.3,70,0.140991755339233,0.225181685919971,-0.0712305799682417,-0.030941531705947,0.571428571428571,0.106111167653738,0.289394427990186,10,0.142857142857143,7,0.1,0.9,0,0.2
SafetyWeightedTimeGated,0.4,52,0.164717026977783,0.25637412149147,-0.0994442318958161,-0.0620815702136375,0.634615384615385,0.1320806294368,0.490201887905439,10,0.192307692307692,12,0.230769230769231,0.769230769230769,0,0.2
SafetyWeightedTimeGated,0.6,20,0.283716952817428,0.385137518883254,-0.258486951295019,-0.139640358365323,0.9,0.271101952056224,0.615403095982147,9,0.45,14,0.7,0.3,0,0.2
SafetyWeightedTimeGated,0.8,8,0.525327122627571,0.583538323005831,-0.525327122627571,-0.523784050998768,1,0.525327122627571,0.928754147954751,7,0.875,8,1,0,0,0.2
