Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
1,2026081501,NUAA,W9,force_z+vibration_y,SoftClipping,7,0,0,0.714285714285714,0.285714285714286,0
1,2026081501,NUAA,W1,force_z+vibration_y,IntermittentDropout,29,0.827586206896552,0.827586206896552,0.172413793103448,0,0
1,2026081501,NUAA,W2,force_z+vibration_y,IntermittentDropout,17,0.705882352941177,0.705882352941177,0.294117647058824,0,0
1,2026081501,NUAA,W3,force_z+vibration_y,IntermittentDropout,11,0.727272727272727,0.727272727272727,0.272727272727273,0,0
1,2026081501,NUAA,W4,force_z+vibration_y,IntermittentDropout,28,0.821428571428571,0.821428571428571,0.178571428571429,0,0
1,2026081501,NUAA,W5,force_z+vibration_y,IntermittentDropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0.142857142857143
1,2026081501,NUAA,W6,force_z+vibration_y,IntermittentDropout,14,0.928571428571429,0.928571428571429,0.0714285714285714,0,0
1,2026081501,NUAA,W7,force_z+vibration_y,IntermittentDropout,8,1,1,0,0,0
1,2026081501,NUAA,W8,force_z+vibration_y,IntermittentDropout,31,0.903225806451613,0.903225806451613,0.0967741935483871,0,0
1,2026081501,NUAA,W9,force_z+vibration_y,IntermittentDropout,7,0.714285714285714,0.714285714285714,0.285714285714286,0,0
1,2026081501,NUAA,W1,force_z+vibration_y,GradualDrift,29,0.241379310344828,0.241379310344828,0.586206896551724,0.172413793103448,0
1,2026081501,NUAA,W2,force_z+vibration_y,GradualDrift,17,0.176470588235294,0.176470588235294,0.411764705882353,0.411764705882353,0
1,2026081501,NUAA,W3,force_z+vibration_y,GradualDrift,11,0.0909090909090909,0.0909090909090909,0.636363636363636,0.272727272727273,0
1,2026081501,NUAA,W4,force_z+vibration_y,GradualDrift,28,0.0357142857142857,0.0357142857142857,0.535714285714286,0.428571428571429,0
1,2026081501,NUAA,W5,force_z+vibration_y,GradualDrift,7,0.428571428571429,0.571428571428571,0.142857142857143,0.285714285714286,0.142857142857143
1,2026081501,NUAA,W6,force_z+vibration_y,GradualDrift,14,0.142857142857143,0.142857142857143,0.571428571428571,0.285714285714286,0
1,2026081501,NUAA,W7,force_z+vibration_y,GradualDrift,8,0.125,0.125,0.375,0.5,0
1,2026081501,NUAA,W8,force_z+vibration_y,GradualDrift,31,0.0967741935483871,0.0967741935483871,0.387096774193548,0.516129032258065,0
1,2026081501,NUAA,W9,force_z+vibration_y,GradualDrift,7,0,0,0.285714285714286,0.714285714285714,0
1,2026081501,NUAA,W1,force_z+vibration_y,HeteroscedasticNoise,29,0,0,0.344827586206897,0.655172413793103,0
1,2026081501,NUAA,W2,force_z+vibration_y,HeteroscedasticNoise,17,0,0,0.588235294117647,0.411764705882353,0
1,2026081501,NUAA,W3,force_z+vibration_y,HeteroscedasticNoise,11,0,0,0.363636363636364,0.636363636363636,0
1,2026081501,NUAA,W4,force_z+vibration_y,HeteroscedasticNoise,28,0,0,0.321428571428571,0.678571428571429,0
1,2026081501,NUAA,W5,force_z+vibration_y,HeteroscedasticNoise,7,0,0,0.428571428571429,0.571428571428571,0.142857142857143
1,2026081501,NUAA,W6,force_z+vibration_y,HeteroscedasticNoise,14,0,0,0.214285714285714,0.785714285714286,0
1,2026081501,NUAA,W7,force_z+vibration_y,HeteroscedasticNoise,8,0,0,0.5,0.5,0
1,2026081501,NUAA,W8,force_z+vibration_y,HeteroscedasticNoise,31,0,0,0.32258064516129,0.67741935483871,0
1,2026081501,NUAA,W9,force_z+vibration_y,HeteroscedasticNoise,7,0,0,0.571428571428571,0.428571428571429,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,SoftClipping,29,0,0,0.0689655172413793,0.931034482758621,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,SoftClipping,17,0,0,0,1,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,SoftClipping,11,0,0,0,1,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,SoftClipping,28,0,0,0.0714285714285714,0.928571428571429,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,SoftClipping,7,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,SoftClipping,14,0,0,0,1,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,SoftClipping,8,0,0,0,1,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,SoftClipping,31,0,0,0,1,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,SoftClipping,7,0,0,0,1,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,IntermittentDropout,29,1,1,0,0,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,IntermittentDropout,17,0.882352941176471,1,0,0,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,IntermittentDropout,11,1,1,0,0,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,IntermittentDropout,28,1,1,0,0,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,IntermittentDropout,7,1,1,0,0,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,IntermittentDropout,14,1,1,0,0,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,IntermittentDropout,8,1,1,0,0,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,IntermittentDropout,31,1,1,0,0,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,IntermittentDropout,7,1,1,0,0,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,GradualDrift,29,0,0,0.206896551724138,0.793103448275862,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,GradualDrift,17,0,0,0,1,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,GradualDrift,11,0,0,0.363636363636364,0.636363636363636,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,GradualDrift,28,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,GradualDrift,7,0.142857142857143,0.142857142857143,0.428571428571429,0.428571428571429,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,GradualDrift,14,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,GradualDrift,8,0,0,0.25,0.75,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,GradualDrift,31,0,0,0.161290322580645,0.838709677419355,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,GradualDrift,7,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,HeteroscedasticNoise,29,0,0,0.0689655172413793,0.931034482758621,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,HeteroscedasticNoise,17,0,0,0,1,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,HeteroscedasticNoise,11,0,0,0,1,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,HeteroscedasticNoise,28,0,0,0.0357142857142857,0.964285714285714,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,HeteroscedasticNoise,7,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,HeteroscedasticNoise,14,0,0,0,1,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,HeteroscedasticNoise,8,0,0,0,1,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,HeteroscedasticNoise,31,0,0,0,1,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,HeteroscedasticNoise,7,0,0,0,1,0
1,2026081501,PHM2010,c1,force_z+vibration_x,SoftClipping,315,0.00634920634920635,0.00634920634920635,0.0793650793650794,0.914285714285714,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,SoftClipping,315,0.00634920634920635,0.00634920634920635,0.352380952380952,0.641269841269841,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,SoftClipping,315,0,0,0.0126984126984127,0.987301587301587,0
1,2026081501,PHM2010,c1,force_z+vibration_x,IntermittentDropout,315,0.977777777777778,1,0,0,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,IntermittentDropout,315,0.996825396825397,1,0,0,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,IntermittentDropout,315,0.0825396825396825,0.0825396825396825,0.917460317460317,0,0
1,2026081501,PHM2010,c1,force_z+vibration_x,GradualDrift,315,0.00952380952380952,0.00952380952380952,0.250793650793651,0.73968253968254,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,GradualDrift,315,0.0349206349206349,0.0380952380952381,0.380952380952381,0.580952380952381,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,GradualDrift,315,0,0,0.114285714285714,0.885714285714286,0
1,2026081501,PHM2010,c1,force_z+vibration_x,HeteroscedasticNoise,315,0.00634920634920635,0.00634920634920635,0.104761904761905,0.888888888888889,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,HeteroscedasticNoise,315,0,0,0.231746031746032,0.768253968253968,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,HeteroscedasticNoise,315,0,0,0.019047619047619,0.980952380952381,0
1,2026081501,PHM2010,c1,force_z+vibration_y,SoftClipping,315,0.00634920634920635,0.00634920634920635,0.104761904761905,0.888888888888889,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,SoftClipping,315,0,0,0.333333333333333,0.666666666666667,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,SoftClipping,315,0,0,0.00952380952380952,0.990476190476191,0
1,2026081501,PHM2010,c1,force_z+vibration_y,IntermittentDropout,315,0.136507936507936,0.142857142857143,0.857142857142857,0,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,IntermittentDropout,315,0.987301587301587,1,0,0,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,IntermittentDropout,315,0.0317460317460317,0.0317460317460317,0.968253968253968,0,0
1,2026081501,PHM2010,c1,force_z+vibration_y,GradualDrift,315,0,0,0.298412698412698,0.701587301587302,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,GradualDrift,315,0.00317460317460317,0.00317460317460317,0.355555555555556,0.641269841269841,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,GradualDrift,315,0,0,0.13015873015873,0.86984126984127,0
1,2026081501,PHM2010,c1,force_z+vibration_y,HeteroscedasticNoise,315,0,0,0.0666666666666667,0.933333333333333,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,HeteroscedasticNoise,315,0,0,0.196825396825397,0.803174603174603,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,HeteroscedasticNoise,315,0,0,0.00952380952380952,0.990476190476191,0
1,2026081501,PHM2010,c1,vibration_x+vibration_y,SoftClipping,315,0,0,0.0571428571428571,0.942857142857143,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,SoftClipping,315,0,0,0.0126984126984127,0.987301587301587,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,SoftClipping,315,0,0,0.019047619047619,0.980952380952381,0.00634920634920635
1,2026081501,PHM2010,c1,vibration_x+vibration_y,IntermittentDropout,315,0.13968253968254,0.13968253968254,0.86031746031746,0,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,IntermittentDropout,315,0.987301587301587,1,0,0,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,IntermittentDropout,315,0.00317460317460317,0.00317460317460317,0.0920634920634921,0.904761904761905,0.00634920634920635
1,2026081501,PHM2010,c1,vibration_x+vibration_y,GradualDrift,315,0,0,0.0285714285714286,0.971428571428571,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,GradualDrift,315,0,0,0.0825396825396825,0.917460317460317,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,GradualDrift,315,0,0,0,1,0.00634920634920635
1,2026081501,PHM2010,c1,vibration_x+vibration_y,HeteroscedasticNoise,315,0,0,0.0158730158730159,0.984126984126984,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,HeteroscedasticNoise,315,0,0,0,1,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,HeteroscedasticNoise,315,0,0,0,1,0.00634920634920635
2,2026081502,NUAA,W1,force_z+vibration_x,SoftClipping,29,0,0,0.724137931034483,0.275862068965517,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,SoftClipping,17,0,0,0.705882352941177,0.294117647058824,0
2,2026081502,NUAA,W3,force_z+vibration_x,SoftClipping,11,0,0,0.727272727272727,0.272727272727273,0
2,2026081502,NUAA,W4,force_z+vibration_x,SoftClipping,28,0,0,0.785714285714286,0.214285714285714,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,SoftClipping,7,0.285714285714286,0.285714285714286,0.571428571428571,0.142857142857143,0
2,2026081502,NUAA,W6,force_z+vibration_x,SoftClipping,14,0,0,0.642857142857143,0.357142857142857,0
2,2026081502,NUAA,W7,force_z+vibration_x,SoftClipping,8,0,0,0.875,0.125,0
2,2026081502,NUAA,W8,force_z+vibration_x,SoftClipping,31,0,0,0.967741935483871,0.032258064516129,0
2,2026081502,NUAA,W9,force_z+vibration_x,SoftClipping,7,0,0,0.571428571428571,0.428571428571429,0
2,2026081502,NUAA,W1,force_z+vibration_x,IntermittentDropout,29,0.758620689655172,0.827586206896552,0.172413793103448,0,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,IntermittentDropout,17,0.764705882352941,0.764705882352941,0.235294117647059,0,0
2,2026081502,NUAA,W3,force_z+vibration_x,IntermittentDropout,11,1,1,0,0,0
2,2026081502,NUAA,W4,force_z+vibration_x,IntermittentDropout,28,0.785714285714286,0.821428571428571,0.178571428571429,0,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,IntermittentDropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0
2,2026081502,NUAA,W6,force_z+vibration_x,IntermittentDropout,14,0.785714285714286,0.785714285714286,0.214285714285714,0,0
2,2026081502,NUAA,W7,force_z+vibration_x,IntermittentDropout,8,1,1,0,0,0
2,2026081502,NUAA,W8,force_z+vibration_x,IntermittentDropout,31,0.935483870967742,0.935483870967742,0.0645161290322581,0,0
2,2026081502,NUAA,W9,force_z+vibration_x,IntermittentDropout,7,0.714285714285714,0.714285714285714,0.285714285714286,0,0
2,2026081502,NUAA,W1,force_z+vibration_x,GradualDrift,29,0,0,0.482758620689655,0.517241379310345,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,GradualDrift,17,0,0,0.588235294117647,0.411764705882353,0
2,2026081502,NUAA,W3,force_z+vibration_x,GradualDrift,11,0,0,0.272727272727273,0.727272727272727,0
2,2026081502,NUAA,W4,force_z+vibration_x,GradualDrift,28,0,0,0.5,0.5,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,GradualDrift,7,0.285714285714286,0.285714285714286,0.285714285714286,0.428571428571429,0
2,2026081502,NUAA,W6,force_z+vibration_x,GradualDrift,14,0,0,0.357142857142857,0.642857142857143,0
2,2026081502,NUAA,W7,force_z+vibration_x,GradualDrift,8,0,0,0.75,0.25,0
2,2026081502,NUAA,W8,force_z+vibration_x,GradualDrift,31,0,0,0.483870967741935,0.516129032258065,0
2,2026081502,NUAA,W9,force_z+vibration_x,GradualDrift,7,0,0,0.428571428571429,0.571428571428571,0
2,2026081502,NUAA,W1,force_z+vibration_x,HeteroscedasticNoise,29,0,0,0.275862068965517,0.724137931034483,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,HeteroscedasticNoise,17,0,0,0.647058823529412,0.352941176470588,0
2,2026081502,NUAA,W3,force_z+vibration_x,HeteroscedasticNoise,11,0,0,0.272727272727273,0.727272727272727,0
2,2026081502,NUAA,W4,force_z+vibration_x,HeteroscedasticNoise,28,0,0,0.535714285714286,0.464285714285714,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,HeteroscedasticNoise,7,0,0,0.428571428571429,0.571428571428571,0
2,2026081502,NUAA,W6,force_z+vibration_x,HeteroscedasticNoise,14,0,0,0.357142857142857,0.642857142857143,0
2,2026081502,NUAA,W7,force_z+vibration_x,HeteroscedasticNoise,8,0,0,0.375,0.625,0
