Response,IndependentUnitN,TechnicalRepeatN,FixedRelativeMAE,ResponseRelativeMAE,FixedMinusResponse,BootstrapCI_Lower,BootstrapCI_Upper,UnitsFavourResponse,UnitsFavourFixed,TiedUnits,SignedRankStatistic,RawP,HolmAdjustedP,SignificantAfterHolm
Median replacement,12,30,1.24485150814609,1.10198619777854,0.142865310367552,0.0176551528688871,0.291865810606231,9,3,0,62,0.0771484375,0.3857421875,0
Single-mask-trained dropout,12,30,1.24485150814609,1.09599313880092,0.148858369345167,0.0113771538399666,0.291128629248711,9,3,0,62,0.0771484375,0.3857421875,0
Multi-mask-trained dropout,12,30,1.24485150814609,1.14649129536077,0.0983602127853152,-0.0588809720583486,0.272319995051389,8,4,0,50,0.423828125,0.423828125,0
Single-channel SQTR,12,30,1.24485150814609,1.1320822533441,0.112769254801991,-0.00746026465073052,0.253531087073151,10,2,0,61,0.09228515625,0.3857421875,0
Subset routing,12,30,1.24485150814609,1.12551931808745,0.119332190058642,-0.00565483046607053,0.269098913957368,8,4,0,58,0.1513671875,0.3857421875,0
