CaseID,SampleCount,RidgeGatedMAE,TimeOnlyMAE,AllSensorsTimeMAE,QualityAwareTimeMAE,TimeGatedMAE,NoTimeMinusSQTR_MAE_mm
1,13,0.0461558402427001,0.0302626762278118,0.0299123347366373,0.0341717397151992,0.0344647875260153,0.0116910527166848
2,13,0.0525025335905729,0.0757247412497922,0.0555425064699558,0.136419022879018,0.0564359419412118,-0.0039334083506389
3,14,0.0519143232890665,0.142631541842312,0.0575266978515599,0.0606966611673468,0.0575266978515599,-0.0056123745624934
4,7,0.055466690286611,0.0822049525353638,0.0652286560297278,0.119801825627117,0.0652286560297278,-0.0097619657431168
5,6,0.242398702503134,0.187932655222335,0.206550069152016,0.238870381687916,0.235995449905217,0.00640325259791699
6,1,0.12726503831449,0.363511069393916,0.124119761958048,0.12389547124744,0.124119761958048,0.00314527635644199
7,7,0.122398238649496,0.158584437270635,0.11330327288481,0.126057250849639,0.11330327288481,0.00909496576468601
8,5,0.117065054384692,0.154774147435163,0.117950424326772,0.118810818796059,0.117950424326772,-0.000885369942079994
9,9,0.131096922756474,0.0987924594249485,0.124646673194463,0.117497110807996,0.122229592969719,0.008867329786755
10,10,0.0954117165915457,0.0723767264622596,0.0909355693127369,0.0813966848239617,0.0881261777837515,0.0072855388077942
11,20,0.085680786472514,0.143324408596103,0.0633645228231384,0.0686579165719648,0.0633645228231384,0.0223162636493756
12,12,0.0501870353083161,0.0388367666988509,0.133338352532311,0.0492674104195671,0.0409290198701553,0.0092580154381608
13,13,0.339756900892135,0.339996978519972,0.338972796755815,0.324232880537921,0.333070874900593,0.006686025991542
14,7,0.16263233619505,0.224033018064671,0.173090145533637,0.159444092282064,0.163472926593949,-0.000840590398898999
15,6,0.158957000144174,0.110931462402054,0.146200555447133,0.13594837816722,0.140717334962439,0.018239665181735
16,3,0.153244898323131,0.118191449252455,0.151155652899432,0.151956563121942,0.151956563121942,0.00128833520118901
