Dataset,IndependentUnitN,FullRelativeMAE,PointRelativeMAE,StatefulRelativeMAE,OracleRelativeMAE,PointEventDetectionRate,StatefulEventDetectionRate,PointMeanDetectionDelay,StatefulMeanDetectionDelay,StatefulCleanTriggerRate
NUAA,9,1.21353418692239,1.09444300937861,1.17127617925092,1.07985664213632,0.555555555555556,0.490740740740741,3.56957671957672,3.79126984126984,0.163217975362188
PHM2010,3,1.11998049898277,1.11354798392538,1.11578858764247,1.03125488446021,0.694444444444445,0.611111111111111,84.8469696969697,87.1296296296296,0.0613756613756614
Combined,12,1.19014576493748,1.09921925301531,1.1574042813488,1.06770620271729,0.590277777777778,0.520833333333333,23.888924963925,24.6258597883598,0.137757396865556
