Dataset,IndependentUnitN,TechnicalRepeatN,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,CleanAnyTriggerRate,UnitsFavourSubset
NUAA,9,30,1.89539940389237,1.10597575985334,1.5358588815719,1.15869318890409,1.14472404794966,0.0405760005151486,8
PHM2010,3,30,1.3946595253102,1.13883067441048,1.12815663392623,1.1242512403193,1.03397245438959,0.0296296296296296,2
