FaultFamily,IndependentUnitN,MedianRelativeMAE,SubsetRoutingRelativeMAE,MedianMinusSubset,BootstrapCI_Lower,BootstrapCI_Upper,ExactP,UnitsFavouringSubset,UnitsFavouringMedian,Ties,BootstrapSeed,BootstrapResamples
Abrupt,12,1.1141894884926253,1.1500827017578903,-0.035893213265265005,-0.11502567119488442,0.03303440474239467,0.7333984375,6,6,0,20260815,10000
Gradual/weak,12,1.1019861977785363,1.125519318087447,-0.02353312030891075,-0.07733648787780154,0.0218595422661303,0.7333984375,6,6,0,20260816,10000
