Suite,Method,IndependentUnitN,MeanRelativeMAE,SD_across_units,Units_below_fixed
abrupt,Fixed fusion,12,1.7702144342468265,0.8359511620389454,
abrupt,Median replacement,12,1.1141894884926253,0.11982013644854121,10.0
abrupt,Single-mask-trained dropout,12,1.102107505023535,0.1566947621701937,10.0
abrupt,Multi-mask-trained dropout,12,1.1661334794737508,0.24690659384588862,10.0
abrupt,Single-channel SQTR,12,1.4339333196604824,0.5129336377576538,11.0
abrupt,Subset routing,12,1.1500827017578903,0.19885273227904887,10.0
abrupt,Oracle pair exclusion,12,1.1170361495596437,0.2622663382418005,10.0
structured,Fixed fusion,12,1.2448515081460882,0.3117018410321166,
structured,Median replacement,12,1.1019861977785363,0.1168446207566619,9.0
structured,Single-mask-trained dropout,12,1.0959931388009214,0.16125173467981144,9.0
structured,Multi-mask-trained dropout,12,1.146491295360773,0.24127803493124167,8.0
structured,Single-channel SQTR,12,1.1320822533440977,0.17876752258701586,10.0
structured,Subset routing,12,1.125519318087447,0.1715153241397962,8.0
structured,Oracle pair exclusion,12,1.1170361495596437,0.2622663382418005,7.0
