Dataset,TargetSensor,FaultType,TechnicalRepeatN,RecordScenarioRows,CorrectDetectionRate,MissRate,WrongChannelRate,FullMAE,TargetMedianMAE,TargetMaskMAE,TargetExclusionMAE,SQTRMAE,OracleEnvelopeMAE,MeanSQTRRegret,OracleFullFraction,OracleMedianFraction,OracleMaskFraction,OracleExclusionFraction,MeanRegretWhenDetectionCorrect
NUAA,force_z,Saturation,30,4560,0.967105263157895,0.0307017543859649,0.00219298245614035,0.0937123994341262,0.041530617763931,0.040715411713155,0.0433126859787434,0.0439586625190638,0.032832792116532,0.0111258704025318,0.138377192982456,0.226973684210526,0.392763157894737,0.241885964912281,0.0103200073449416
NUAA,force_z,Dropout,30,4560,0.929166666666667,0.0671052631578947,0.0037280701754386,0.0546108656518576,0.041530617763931,0.040715411713155,0.0433126859787434,0.0432693837009737,0.0327891362578687,0.0104802474431049,0.293421052631579,0.158991228070175,0.357456140350877,0.190131578947368,0.0105464808461841
NUAA,force_z,Bias,30,4560,0.56469298245614,0.419736842105263,0.0155701754385965,0.0640771638950456,0.041530617763931,0.040715411713155,0.0433126859787434,0.0460142834031472,0.0314453783728027,0.0145689050303446,0.270614035087719,0.184868421052632,0.336842105263158,0.207675438596491,0.0120425766629905
NUAA,force_z,Noise,30,4560,0.617543859649123,0.366885964912281,0.0155701754385965,0.0893025358096871,0.041530617763931,0.040715411713155,0.0433126859787434,0.0467818582602639,0.0324493724539319,0.014332485806332,0.214473684210526,0.204824561403509,0.361842105263158,0.218859649122807,0.0103362540928045
NUAA,vibration_x,Saturation,30,4560,1,0,0,0.0388471379710264,0.039538137763081,0.0395176528204298,0.0401040677128647,0.0401040677128647,0.033856213632102,0.00624785408076282,0.361184210526316,0.0721491228070175,0.366008771929825,0.200657894736842,0.00624785408076282
NUAA,vibration_x,Dropout,30,4560,1,0,0,0.039467536156034,0.039538137763081,0.0395176528204298,0.0401040677128647,0.0401040677128647,0.0358435387912248,0.00426052892163999,0.155043859649123,0.148684210526316,0.455482456140351,0.240789473684211,0.00426052892163999
NUAA,vibration_x,Bias,30,4560,0.0646929824561404,0.903289473684211,0.0320175438596491,0.0402336997284262,0.039538137763081,0.0395176528204298,0.0401040677128647,0.0401644998204784,0.0354437357095102,0.00472076411096811,0.228289473684211,0.119517543859649,0.429605263157895,0.222587719298246,0.00905634045556947
NUAA,vibration_x,Noise,30,4560,0.0081140350877193,0.958991228070175,0.0328947368421053,0.0402223876612919,0.039538137763081,0.0395176528204298,0.0401040677128647,0.040339863972547,0.0359250836728656,0.00441478029968134,0.149342105263158,0.158552631578947,0.468640350877193,0.223464912280702,0.0390081755002789
NUAA,vibration_y,Saturation,30,4560,1,0,0,0.0508317732712616,0.0381670474217935,0.0380965929566498,0.0380944885855088,0.0380944885855088,0.0317024655943044,0.00639202299120434,0.281140350877193,0.164473684210526,0.266666666666667,0.287719298245614,0.00639202299120434
NUAA,vibration_y,Dropout,30,4560,1,0,0,0.0419166502793075,0.0381670474217935,0.0380965929566498,0.0380944885855088,0.0380944885855088,0.0331283104308417,0.00496617815466704,0.184429824561403,0.145175438596491,0.335745614035088,0.334649122807018,0.00496617815466704
NUAA,vibration_y,Bias,30,4560,0.489912280701754,0.497368421052632,0.012719298245614,0.0466738565354029,0.0381670474217935,0.0380965929566498,0.0380944885855088,0.0393128987947423,0.0287842591905796,0.0105286396041627,0.320833333333333,0.143640350877193,0.278508771929825,0.257017543859649,0.0102006922290848
NUAA,vibration_y,Noise,30,4560,0.0432017543859649,0.937061403508772,0.0197368421052632,0.0400278563188023,0.0381670474217935,0.0380965929566498,0.0380944885855088,0.0396975976405915,0.0322386118805193,0.00745898576007211,0.221710526315789,0.179385964912281,0.335526315789474,0.263377192982456,0.00641663226572161
PHM2010,force_z,Saturation,30,28350,1,0,0,0.0186925997470458,0.0132185972114446,0.0112049374226772,0.0109959153803692,0.0109959153803692,0.00765215629547904,0.00334375908489021,0.241975308641975,0.226102292768959,0.223174603174603,0.308747795414462,0.00334375908489021
PHM2010,force_z,Dropout,30,28350,1,0,0,0.0220042258971723,0.0132185972114446,0.0112049374226772,0.0109959153803692,0.0109959153803692,0.00782952187306446,0.0031663935073048,0.18705467372134,0.239541446208113,0.21679012345679,0.356613756613757,0.0031663935073048
PHM2010,force_z,Bias,30,28350,0.508994708994709,0.478236331569665,0.0127689594356261,0.0142638724668532,0.0132185972114446,0.0112049374226772,0.0109959153803692,0.0119981971095597,0.00799244227045919,0.0040057548391005,0.255626102292769,0.232239858906526,0.205079365079365,0.30705467372134,0.00347143458209058
PHM2010,force_z,Noise,30,28350,0.233756613756614,0.747583774250441,0.0186596119929453,0.0134522810539125,0.0132185972114446,0.0112049374226772,0.0109959153803692,0.012996472181342,0.0076828366563589,0.00531363552498315,0.292804232804233,0.251816578483245,0.201164021164021,0.254215167548501,0.00309458396132776
PHM2010,vibration_x,Saturation,30,28350,0.998941798941799,0,0.00105820105820106,0.0149069440634881,0.0120326471120824,0.0124103728092851,0.0129382346042603,0.0129444597060712,0.0092208303703748,0.00372362933569637,0.229382716049383,0.378271604938272,0.135978835978836,0.25636684303351,0.00372134216209935
PHM2010,vibration_x,Dropout,30,28350,0.831746031746032,0.165925925925926,0.00232804232804233,0.0127295121816483,0.0120326471120824,0.0124103728092851,0.0129382346042603,0.0134157849890127,0.00914393749384558,0.00427184749516708,0.372874779541446,0.274567901234568,0.168324514991182,0.184232804232804,0.00361694125651681
