Repeat,Seed,FullRelativeMAE,AutoRelativeMAE,RelativeImprovementPercent,MinimumUnitImprovementPercent,MaximumUnitImprovementPercent,IndependentUnitRows
1,2026071801,1.38837237704986,1.07674760716979,22.4453305922319,-11.2616013171187,53.0399522134301,12
2,2026071802,1.38914966031281,1.09151484818774,21.4256836846544,-10.8746757787096,49.4309852589908,12
3,2026071803,1.42039203358541,1.07119262770889,24.5847201068184,-15.757658678673,52.9564019549103,12
4,2026071804,1.39198923255296,1.08973449209313,21.7138705811312,-6.29928899480902,51.075667841014,12
5,2026071805,1.37531583728859,1.09275679927204,20.5450290293763,-21.6900032748853,45.8778273113681,12
6,2026071806,1.38337293069994,1.0815863137752,21.8152755650676,-14.0869610571333,55.4964078257169,12
7,2026071807,1.38541853957763,1.08388653979134,21.7646863509001,-18.4823611836546,52.3001781569401,12
8,2026071808,1.40346018810163,1.08432364501763,22.7392658366518,-10.9048549829508,50.7773507982417,12
9,2026071809,1.40820938751227,1.07894656024924,23.3816668304357,-11.9880051619867,54.1506579268187,12
10,2026071810,1.39282484733052,1.08800602989609,21.8849353541218,-17.5260461355353,48.7765738407,12
11,2026071811,1.40657512193351,1.08355754731149,22.9648292213497,-12.3119812506916,53.9386491104782,12
12,2026071812,1.39724125648385,1.08760146352186,22.1607966072517,-11.8188985296312,52.543255315033,12
13,2026071813,1.39038209372096,1.08479932429803,21.978330331134,-15.5462755847351,50.6640689560427,12
14,2026071814,1.39578851381939,1.07590711106341,22.9176124884896,-11.5173722462023,52.0068407109227,12
15,2026071815,1.36179089251257,1.08285429085332,20.4830714607436,-20.3512793258694,50.7270834889268,12
16,2026071816,1.40475519337661,1.08486008874342,22.7723026860117,-14.0706641804683,54.2537429809371,12
17,2026071817,1.39127642806292,1.07308126024957,22.8707366411987,-17.8719285434582,52.1964172926039,12
18,2026071818,1.39603641277161,1.07747880507788,22.8187176766606,-10.5174429417208,49.2656065761168,12
19,2026071819,1.39667407657285,1.08659228004653,22.2014428224517,-16.8724538843576,51.6268864712552,12
20,2026071820,1.40378505366319,1.08492428956307,22.7143581040455,-14.897297562459,50.8029954008919,12
21,2026071821,1.39823528484706,1.08149561333054,22.6528163713994,-20.5326622681284,54.7710088061724,12
22,2026071822,1.38118158574016,1.07989501646013,21.8136827474842,-13.5469923548795,51.8243377524751,12
23,2026071823,1.36933799412819,1.08032336303934,21.106157305805,-11.2375965550768,50.0294693533649,12
24,2026071824,1.40362802967853,1.08441432203892,22.7420442517605,-13.5757793255736,52.1828060867773,12
25,2026071825,1.3822960933303,1.07930553435645,21.9193673798117,-9.56007258434091,51.7843909056063,12
26,2026071826,1.40370481901233,1.08460798826097,22.7324738384729,-15.8384479678373,53.5177214067148,12
27,2026071827,1.3870210639726,1.08129084663527,22.0422187721996,-11.0291248852015,50.5027213885834,12
28,2026071828,1.38461623039173,1.09429934359791,20.9673179052423,-14.9575932091101,51.280892835403,12
29,2026071829,1.38081397256101,1.07958852474909,21.8150637086354,-12.3485853239727,51.9039673810563,12
30,2026071830,1.39436437213883,1.07780593088704,22.7027058046683,-17.4333388878284,50.2746872318515,12
