Dataset,Method,IndependentUnitN,MeanFixedCleanNormalisedMAE,MeanOwnCleanNormalisedMAE,MeanNormalisationDifference,MinimumNormalisationDifference,MaximumNormalisationDifference
NUAA,Fixed fusion,9,1.45936828403186,1.45936828403186,0,0,0
NUAA,Median replacement,9,1.06183800471965,1.04469922181662,-0.0171387829030259,-0.197730555156371,0.0319441722032769
NUAA,Mask-aware dropout,9,1.07002431640531,1.03736442859776,-0.0326598878075499,-0.250809034383151,0.0835130657645049
NUAA,SQTR,9,1.09173559189484,1.06771607868711,-0.0240195132077295,-0.31794534015245,0.076376565880965
PHM2010,Fixed fusion,3,1.1909630842684,1.1909630842684,0,0,0
PHM2010,Median replacement,3,1.04748642602476,1.04366609019343,-0.00382033583133889,-0.0137531267772038,0.00418842301163269
PHM2010,Mask-aware dropout,3,1.05576660910878,1.03909981780209,-0.0166667913066906,-0.277262317084716,0.243474603360776
PHM2010,SQTR,3,1.055496086363,1.04663948671211,-0.00885659965089077,-0.0244710872340541,0.00137601690746436
