Dataset,Experiment,Method,FixedCleanMAE,OwnCleanMAE,DegradedMAE,FixedCleanNormalisedMAE,OwnCleanNormalisedMAE,NormalisationDifference
NUAA,W1,Fixed fusion,0.0189662457220917,0.0189662457220917,0.0413136047928805,2.17827003816358,2.17827003816358,0
NUAA,W1,Median replacement,0.0189662457220917,0.0188031553844995,0.0204320201214476,1.07728331799733,1.08662720185203,0.00934388385469931
NUAA,W1,Mask-aware dropout,0.0189662457220917,0.0177798419110346,0.0195258862591797,1.02950718583363,1.09820359240998,0.0686964065763516
NUAA,W1,SQTR,0.0189662457220917,0.01855793107983,0.0198150985412757,1.04475597498957,1.067742867243,0.0229868922534302
NUAA,W2,Fixed fusion,0.0148476120149696,0.0148476120149696,0.0331651356397807,2.23370166235103,2.23370166235103,0
NUAA,W2,Median replacement,0.0148476120149696,0.0144463930649372,0.0170775764786291,1.15019010878054,1.18213428098382,0.0319441722032769
NUAA,W2,Mask-aware dropout,0.0148476120149696,0.0163762517608315,0.01918636475419,1.29221889249571,1.17159683634565,-0.120622056150063
NUAA,W2,SQTR,0.0148476120149696,0.0139356538370896,0.0173288269758962,1.16711205535442,1.24348862123539,0.076376565880965
NUAA,W3,Fixed fusion,0.0295033416448534,0.0295033416448534,0.0369053177777706,1.25088602579391,1.25088602579391,0
NUAA,W3,Median replacement,0.0295033416448534,0.0295033416448534,0.0292859540493008,0.992631763609378,0.992631763609378,0
NUAA,W3,Mask-aware dropout,0.0295033416448534,0.0270618023104883,0.0273098067558142,0.92565130704705,1.00916437281155,0.0835130657645049
NUAA,W3,SQTR,0.0295033416448534,0.0295033416448534,0.0291905347203509,0.989397576441751,0.989397576441751,0
NUAA,W4,Fixed fusion,0.0499947737234601,0.0499947737234601,0.0616235935751266,1.23260070974598,1.23260070974598,0
NUAA,W4,Median replacement,0.0499947737234601,0.0498829239877363,0.0489068706213601,0.978239663447271,0.980433116418432,0.00219345297116136
NUAA,W4,Mask-aware dropout,0.0499947737234601,0.0521321782101146,0.0490947359345672,0.9819973624869,0.941735749783843,-0.0402616127030571
NUAA,W4,SQTR,0.0499947737234601,0.0498742564749862,0.0497845921490214,0.995795929078482,0.998202192226971,0.00240626314848902
NUAA,W5,Fixed fusion,0.0243134056071281,0.0243134056071281,0.042709863617285,1.75663846963354,1.75663846963354,0
NUAA,W5,Median replacement,0.0243134056071281,0.0289433481729886,0.0300533401109038,1.23608105736092,1.03835050220455,-0.197730555156371
NUAA,W5,Mask-aware dropout,0.0243134056071281,0.0302825821173788,0.0309362346844332,1.27239413450839,1.02158510012524,-0.250809034383151
NUAA,W5,SQTR,0.0243134056071281,0.0308928557556908,0.036296664357655,1.49286632009354,1.17492097994109,-0.31794534015245
NUAA,W6,Fixed fusion,0.0360025923619169,0.0360025923619169,0.0436013905920984,1.21106252999213,1.21106252999213,0
NUAA,W6,Median replacement,0.0360025923619169,0.0360025923619169,0.0367049256079465,1.01950785207269,1.01950785207269,0
NUAA,W6,Mask-aware dropout,0.0360025923619169,0.0351111199096593,0.0359970078464832,0.999844885741072,1.02523097921978,0.02538609347871
NUAA,W6,SQTR,0.0360025923619169,0.0360025923619169,0.0351364149270046,0.97594124816888,0.97594124816888,0
NUAA,W7,Fixed fusion,0.0769839701819179,0.0769839701819179,0.0800478861497539,1.03979940188322,1.03979940188322,0
NUAA,W7,Median replacement,0.0769839701819179,0.0769839701819179,0.0775436478742387,1.00727005493479,1.00727005493479,0
NUAA,W7,Mask-aware dropout,0.0769839701819179,0.0746590918411004,0.0754390096532437,0.979931399679396,1.01044638761215,0.0305149879327548
NUAA,W7,SQTR,0.0769839701819179,0.0769839701819179,0.076663587910481,0.995838324904784,0.995838324904784,1.11022302462516e-16
NUAA,W8,Fixed fusion,0.0589604040915583,0.0589604040915583,0.0744854616215246,1.26331328234891,1.26331328234891,0
NUAA,W8,Median replacement,0.0589604040915583,0.0589604040915583,0.0614486349836355,1.04220172725094,1.04220172725094,0
NUAA,W8,Mask-aware dropout,0.0589604040915583,0.0600727855055994,0.0610141904984806,1.03483331633435,1.01567107276545,-0.0191622435689045
NUAA,W8,SQTR,0.0589604040915583,0.0589604040915583,0.0624031679620336,1.0583911172849,1.0583911172849,0
NUAA,W9,Fixed fusion,0.0521760460864791,0.0521760460864791,0.0505086267739394,0.968042436374422,0.968042436374422,0
NUAA,W9,Median replacement,0.0521760460864791,0.0521760460864791,0.0549484984040231,1.05313649702296,1.05313649702296,0
NUAA,W9,Mask-aware dropout,0.0521760460864791,0.0557387638430218,0.0581157861400664,1.11384036352127,1.04264576630618,-0.0711945972150945
NUAA,W9,SQTR,0.0521760460864791,0.0521760460864791,0.0576817553813511,1.10552178073721,1.10552178073721,0
PHM2010,c1,Fixed fusion,0.00801215564201791,0.00801215564201791,0.00944624582535488,1.178989306675,1.178989306675,0
PHM2010,c1,Median replacement,0.00801215564201791,0.00797736219703488,0.00769417028191017,0.960312133923093,0.964500556934726,0.00418842301163269
PHM2010,c1,Mask-aware dropout,0.00801215564201791,0.0104208587473333,0.00961082041322191,1.19952991961616,0.922267602531444,-0.277262317084716
PHM2010,c1,SQTR,0.00801215564201791,0.00819049407155347,0.00900467006699878,1.1238760789638,1.09940499172975,-0.0244710872340541
PHM2010,c4,Fixed fusion,0.0150087833008585,0.0150087833008585,0.0154750369129808,1.03106538370073,1.03106538370073,0
PHM2010,c4,Median replacement,0.0150087833008585,0.0151961149394473,0.0167443530142259,1.1156369359579,1.1018838091807,-0.0137531267772038
PHM2010,c4,Mask-aware dropout,0.0150087833008585,0.0152299404997609,0.0167570240720472,1.11648117879673,1.1002685186006,-0.0162126601961321
PHM2010,c4,SQTR,0.0150087833008585,0.0150591275367102,0.015599706860182,1.03937184963485,1.03589712100877,-0.00347472862608256
PHM2010,c6,Fixed fusion,0.0145958561471217,0.0145958561471217,0.0198917372255461,1.36283456242947,1.36283456242947,0
PHM2010,c6,Median replacement,0.0145958561471217,0.0146218544703782,0.0155666295782262,1.0665102081933,1.06461390446485,-0.00189630372844563
PHM2010,c6,Mask-aware dropout,0.0145958561471217,0.0113497478958077,0.0124252878268869,0.851288728913459,1.09476333227424,0.243474603360776
PHM2010,c6,SQTR,0.0145958561471217,0.0145758642916344,0.0146431515448281,1.00324033049036,1.00461634739782,0.00137601690746436
